Label,StopwordRemovedSentence
positive,pretend like certain learned pundit speak two thousand languages four thousand idioms made use different parts globe know important ones
negative,matter great doubt violent measures uncle impetuosity might led clock struck two old french cook called let us know dinner table
negative,bother dinner
negative,cried uncle
neutral,hungry sallied forth dining room took usual quarters
neutral,politeness waited three minutes sign uncle professor
positive,surprised
positive,usually blind pleasure good dinner
positive,acme german luxury parsley soup ham omelette sorrel trimmings oyster veal stewed prunes delicious fruit sparkling moselle
positive,sake poring musty old piece parchment uncle forbore share meal
neutral,satisfy conscience ate
neutral,old cook housekeeper nearly mind
negative,taking much trouble find master appear dinner sad disappointment occasionally watched havoc making viands became also alarm
neutral,uncle come table
negative,suddenly consumed last apple drunk last glass wine terrible voice heard great distance
neutral,uncle roaring come
neutral,made nearly one leap loud fierce tone
positive,illustration runic glyphs declare cried uncle striking table fiercely fist declare runic contains wonderful secret must get price
negative,reply stopped
neutral,sit said quite fiercely write dictation
neutral,obeyed
neutral,substitute said letter alphabet runic see produce
negative,begin make mistakes
negative,dictation commenced following incomprehensible result mm rnlls esruel seecjde sgtssmf unteief niedrke kt samn atrates saodrrn emtnaei nuaect rrilsa atvaar nscrc ieaabs ccdrmi eeutul frantu dt iac oseibo kediiy scarcely giving time finish uncle snatched document hands examined rapt deep attention
positive,like know means said long period
positive,certainly could tell expect conversation uniformly answered
negative,declare puts mind cryptograph cried unless indeed letters written without real meaning yet take much trouble
positive,knows may verge great discovery
neutral,candid opinion rubbish
positive,opinion kept carefully uncle choler pleasant bear
neutral,time comparing book parchment
neutral,manuscript volume smaller document written different hands said cryptograph much later date book undoubted proof correctness surmise
neutral,irrefragable proof took
neutral,first letter double added icelandic language twelfth century makes parchment two hundred years posterior volume
neutral,circumstances appeared probable logical surmise
negative,appears probable sentence written owner book
positive,owner next important question
positive,perhaps great good luck may written somewhere volume
positive,words professor hardwigg took spectacles taking powerful magnifying glass examined book carefully
neutral,fly leaf appeared blot ink examination proved line writing almost effaced time
neutral,sought considerable time made letters illustration runic glyphs arne saknussemm
positive,cried joyous triumphant tone icelandic name learned professor sixteenth century celebrated alchemist
positive,bowed sign respect
positive,alchemists continued avicenna bacon lully paracelsus true learned men day
positive,made surprising discoveries
positive,may saknussemm nephew mine hidden bit parchment astounding invention
neutral,believe cryptograph profound meaning must make
positive,uncle walked room state excitement almost impossible describe
positive,may sir timidly observed conceal posterity useful worthy discovery
neutral,know
neutral,galileo make secret discoveries connection saturn
neutral,shall see
negative,discover meaning sentence neither eat sleep
positive,dear uncle began
neutral,neither added
positive,lucky taken double allowance day
neutral,first place continued must clue meaning
positive,could find rest would easy enough
negative,began seriously reflect
positive,prospect going without food sleep promising one determined best solve mystery
neutral,uncle meanwhile went soliloquy
positive,way discover easy enough
neutral,document one hundred thirty two letters giving seventy nine consonants fifty three vowels
positive,proportion found southern languages idioms north much rich consonants
positive,may confidently predict therefore deal southern dialect
neutral,nothing could logical
neutral,said professor hardwigg trace particular language
neutral,shakespeare says question rather satirical reply
positive,man saknussemm continued learned man write language birthplace probably like learned men sixteenth century wrote latin
negative,however prove wrong guess must try spanish french italian greek even hebrew
positive,opinion though decidedly favor latin
negative,proposition startled
positive,latin favorite study seemed sacrilege believe gibberish belong country virgil
neutral,barbarous latin probability continued uncle still latin
neutral,probably replied contradict
positive,let us see matter continued uncle see series one hundred thirty two letters apparently thrown pell mell upon paper without method organization
neutral,words composed wholly consonants mm rnlls others nearly vowels fifth instance unteief one last oseibo
neutral,appears extraordinary combination
neutral,probably shall find phrase arranged according mathematical plan
negative,doubt certain sentence written jumbled plan figure clue
neutral,harry show english wit figure
neutral,could give hint
neutral,thoughts indeed far away
neutral,speaking caught sight portrait cousin gretchen wondering would return
positive,affianced loved one another sincerely
positive,uncle never thought even sublunary matters knew nothing
neutral,without noticing abstraction professor began reading puzzling cryptograph sorts ways according theory
positive,presently rousing wandering attention dictated one precious attempt
neutral,mildly handed
negative,read follows mmessunkasenra icefdok segnittamurtn ecertserrette rotaivsadua ednecsedsadne lacartniiilrjsiratracsarbmutabiledmek meretarcsilucoysleffensni could scarcely keep laughing uncle contrary got towering passion struck table fist darted room house taking heels presently lost sight
positive,matter
negative,cried cook entering room master dinner
neutral,never
neutral,supper
neutral,know
neutral,says eat neither shall
positive,uncle determined fast make fast makes abominable inscription replied
negative,starved death said
positive,much opinion liking say sent away began usual work classification
negative,try might nothing could keep thinking alternately stupid manuscript pretty gretchen
negative,several times thought going uncle would angry absence
neutral,end hour allotted task done
neutral,pass time
neutral,began lighting pipe
positive,like students delighted tobacco seating great armchair began think
neutral,uncle
negative,could easily imagine tearing along solitary road gesticulating talking cutting air cane still thinking absurd bit hieroglyphics
neutral,would hit upon clue
positive,would come home better humor
neutral,thoughts passing brain mechanically took execrable puzzle tried every imaginable way grouping letters
neutral,put together twos threes fours fives vain
neutral,nothing intelligible came except fourteenth fifteenth sixteenth made ice english eighty fourth eighty fifth eighty sixth word sir last seemed find latin words rota mutabile ira nec atra
positive,ha
neutral,seems truth uncle notion thought
neutral,seemed find word luco means sacred wood
positive,third line appeared make labiled perfect hebrew word last syllables mere mer french
negative,enough drive one mad
neutral,four different idioms absurd phrase
negative,connection could ice sir anger cruel sacred wood changing mother sea
negative,first last might sentence connected iceland mean sea ice
neutral,rest monstrous cryptograph
negative,fact fighting insurmountable difficulty brain almost fire eyes strained staring parchment whole absurd collection letters appeared dance vision number black little groups
neutral,mind possessed temporary hallucination stifling
neutral,wanted air
neutral,mechanically fanned document saw back front
positive,imagine surprise glancing back wearisome puzzle ink gone clearly made latin words among others craterem terrestre
neutral,discovered secret
positive,came upon like flash lightning
neutral,got clue
neutral,understand document read backwards
neutral,ingenious ideas professor realized dictated rightly mere accident discovered much desired
positive,delight emotion may imagined eyes dazzled trembled first could make nothing
neutral,one look however would tell wished know
neutral,let read said drawing long breath
positive,spread table passed finger letter spelled excitement read
neutral,horror stupefaction took possession soul
positive,like man received knock blow
negative,possible really read terrible secret really accomplished
neutral,man dared
neutral,living ever know
neutral,never
negative,cried jumping
negative,never shall uncle made aware dread secret
negative,would quite capable undertaking terrible journey
negative,nothing would check nothing stop
negative,worse would compel accompany lost forever
negative,folly madness cannot allowed
negative,almost beside rage fury
negative,worthy uncle already nearly mad cried aloud
neutral,would finish
negative,accident may make discovery case lost
negative,perish fearful secret let flames forever bury oblivion
negative,snatched book parchment cast fire door opened uncle entered
neutral,scarcely time put wretched documents uncle side
positive,profoundly absorbed
negative,thoughts evidently bent terrible parchment
negative,new combination probably struck taking walk
neutral,seated armchair pen began make algebraical calculation
negative,watched anxious eyes
neutral,flesh crawled became probable would discover secret
negative,combinations knew useless discovered one clue
neutral,three mortal hours continued without speaking word without raising head scratching rewriting calculating
neutral,knew time must hit upon right phrase
positive,letters every alphabet certain number combinations
positive,years might elapse would arrive correct solution
positive,still time went night came sounds streets ceased still uncle went even answering worthy cook called us supper
negative,dare leave waved away last fell asleep sofa
neutral,awoke uncle still work
negative,red eyes pallid countenance matted hair feverish hands hectically flushed cheeks showed terrible struggle impossible fearful fatigue undergone long sleepless night
negative,made quite ill look
positive,though rather severe loved heart ached sufferings
positive,overcome one idea could even get passion
positive,energies focused one point
negative,knew speaking one little word suffering would cease
neutral,could speak
neutral,heart nevertheless inclining towards
neutral,remain silent
positive,interest uncle
neutral,nothing shall make speak muttered
positive,want follow footsteps
neutral,know well
positive,imagination perfect volcano make discoveries interests geology would sacrifice life
neutral,therefore silent strictly keep secret discovered
negative,reveal would suicidal
negative,would rush destruction drag
positive,crossed arms looked another way smoked resolved never speak
neutral,cook wanted go market errand found front door locked key taken away
neutral,done purposely
positive,surely professor hardwigg intend old woman become martyrs obstinate
negative,starved death
neutral,frightful recollection came mind
neutral,fed bits scraps week sorted curiosities
negative,gave cramp even think
neutral,wanted breakfast saw way getting
positive,still resolution held good
negative,would starve rather yield
negative,cook began take seriously task
neutral,done
neutral,could go dared
neutral,uncle continued counting writing imagination seemed translated skies
neutral,neither thought eating drinking
neutral,way twelve clock came round
neutral,hungry nothing house
neutral,cook eaten last bit bread
neutral,could go
negative,however two sensations terrible
neutral,began think document absurd
negative,perhaps might gigantic hoax
neutral,besides means would surely found keep uncle back attempting absurd expedition
positive,hand attempt anything quixotic compelled accompany
neutral,another line reasoning partially decided
negative,likely would make discovery suffered starvation nothing
negative,influence hunger reasoning appeared admirable
positive,determined tell
neutral,question arose done
positive,still dwelling thought rose put hat
neutral,
neutral,go lock us
neutral,never
neutral,uncle began
neutral,appear even hear
negative,professor hardwigg cried
neutral,retorted speak
neutral,key
neutral,key key door
negative,horrible hieroglyphics
negative,looked spectacles started odd expression face
neutral,rushing forward clutched arm keenly examined countenance
neutral,look interrogation
neutral,simply nodded
neutral,incredulous shrug shoulders turned upon heel
negative,undoubtedly thought gone mad
positive,made important discovery
positive,eyes flashed excitement
neutral,hand lifted menacing attitude
neutral,moment neither us spoke
positive,hard say excited
neutral,mean say idea meaning scrawl
negative,desperate reply
negative,look sentence dictated
negative,well means nothing angry answer
neutral,nothing read left right mark right left backwards
positive,cried uncle wild amazement
neutral,oh cunning saknussemm blockhead
neutral,snatched document gazed haggard eye read done
neutral,read follows sneffels yoculis craterem kem delibat umbra scartaris julii intra calendas descende audas viator et terrestre centrum attinges
neutral,kod feci
positive,arne saknussemm dog latin translated reads follows descend crater yocul sneffels shade scartaris caresses kalends july audacious traveler reach centre earth
neutral,
positive,arne saknussemm uncle leaped three feet ground joy
positive,looked radiant handsome
positive,rushed room wild delight satisfaction
neutral,knocked tables chairs
negative,threw books last utterly exhausted fell armchair
neutral,clock
neutral,asked
neutral,three
positive,dinner seem done much good observed
neutral,let something eat
neutral,start
positive,get portmanteau ready
neutral,
neutral,continued
neutral,start
neutral,horror may conceived
neutral,resolved however show fear
neutral,scientific reasons ones likely influence uncle
negative,many terrible journey
neutral,idea going centre earth simply absurd
neutral,determined therefore argue point dinner
negative,uncle rage directed cook dinner ready
positive,explanation however satisfied gotten key soon contrived get sufficient satisfy voracious appetites
neutral,repast uncle rather gay otherwise
positive,made peculiar jokes belong exclusively learned
neutral,soon however dessert called study
neutral,took chair opposite sides table
positive,henry said soft winning voice always believed ingenious rendered service never forgotten
positive,without great wondrous discovery would never made
positive,duty therefore insist sharing glory
positive,good humor thought soon let know opinion glory
neutral,first place continued must keep whole affair profound secret
negative,envious race men scientific discoverers
neutral,many would start journey
neutral,events first field
negative,doubt many competitors reply
positive,man real scientific acquirements would delighted chance
positive,find perfect stream pilgrims traces arne saknussemm document made public
neutral,dear sir paper likely hoax
neutral,urged
neutral,book find sufficient proof authenticity replied
positive,thoroughly allow celebrated professor wrote lines believe kind mystification answer
negative,scarcely words mouth sorry uttered
negative,uncle looked dark gloomy scowl began alarmed results conversation
positive,mood soon changed however smile took place frown
positive,shall see remarked decisive emphasis
neutral,see yocul sneffels scartaris
neutral,never heard anything
neutral,point coming
positive,lately received friend augustus peterman leipzig map
neutral,take third atlas second shelf series z plate 4
positive,rose went shelf presently returned volume indicated
positive,said uncle one best maps iceland
negative,believe settle doubts difficulties objections
negative,grim hope contrary stooped map
positive,see whole island composed volcanoes said professor remark carefully bear name yocul
neutral,word icelandic means glacier
neutral,lofty mountains region volcanic eruptions come forth icebound caverns
neutral,hence name applied every volcano extraordinary island
neutral,word sneffels mean
neutral,question expected rational answer
negative,mistaken
neutral,follow finger western coast iceland see reykjavik capital
neutral,follow direction one innumerable fjords arms sea see sixty fifth degree latitude
positive,peninsula like thighbone shape
neutral,centre
neutral,mountain
neutral,well sneffels
neutral,nothing say
positive,sneffels mountain five thousand feet height one remarkable whole island certainly doomed celebrated world crater shall reach centre earth
neutral,impossible
negative,cried startled shocked thought
neutral,impossible
neutral,said professor hardwigg severest tones
negative,crater choked lava burning rocks infinite dangers
neutral,extinct
neutral,would make difference
neutral,course would
positive,three hundred volcanoes whole surface globe greater number extinct
neutral,sneffels one
neutral,eruption occurred since 1219 fact ceased volcano
neutral,could say
positive,yes thought another objection
neutral,scartaris kalends july
neutral,uncle reflected deeply
neutral,presently gave forth result reflections sententious tone
neutral,appears obscure light
neutral,phrase shows particular saknussemm directions
neutral,sneffels mountain many craters
positive,careful therefore point exact one highway interior earth
neutral,lets us know purpose end month june shadow mount scartaris falls upon one crater
neutral,doubt matter
neutral,uncle answer everything
positive,accept explanations said saknussemm right
negative,found entrance bowels earth indicated correctly anyone else ever followed discovery madness suppose
neutral,young man
neutral,scientific teaching theoretical practical shows impossible
positive,care nothing theories retorted uncle
neutral,well known heat increases one degree every seventy feet descend earth
positive,gives fine idea central heat
positive,matters compose globe state incandescence even gold platinum hardest rocks state fusion
neutral,would become us
negative,alarmed heat boy
neutral,
neutral,neither anybody else know anything real state earth interior
neutral,modern experiments tend explode older theories
negative,heat exist upper crust earth would shattered atoms world would end
positive,long learned uninteresting discussion followed ended wise believe dangers difficulties henry seem multiply way learn like arne saknussemm go see
negative,well cried overcome last let us go see
neutral,though dark another mystery
negative,fear nothing
neutral,shall overcome many difficulties
neutral,besides approach centre expect find luminous nothing impossible
neutral,come thorough understanding word living soul
positive,success depends secrecy dispatch
positive,thus ended memorable conference roused perfect fever
positive,leaving uncle went forth like one possessed
positive,reaching banks elbe began think
positive,heard really truly possible
positive,uncle sober senses could interior earth reached
positive,victim madman discoverer rare courage grandeur conception
negative,certain extent anxious
negative,afraid enthusiasm would cool
positive,determined pack
neutral,end hour however way home found feelings much changed
negative,abroad cried tis nightmare must dreamed
positive,moment came face face gretchen warmly embraced
positive,come meet said good
positive,matter
positive,well use mincing matter told
neutral,listened awe minutes could speak
neutral,well
negative,last said rather anxiously
positive,magnificent journey
neutral,man
positive,journey worthy nephew professor hardwigg
positive,look upon honor accompany
negative,dear gretchen thought would first cry mad enterprise
positive,contrary glory
positive,magnificent splendid idea worthy father
negative,henry lawson envy
neutral,conclusive
neutral,final blow
neutral,entered house found uncle surrounded workmen porters packing
neutral,pulling hauling bell
negative,wasting time
positive,portmanteau packed papers order precious tailor brought clothes gaiters key carpet bag gone
neutral,looked stupefied
neutral,still tugged away bell
neutral,really
neutral,said
negative,yes course yet go stroll unfortunate boy
neutral,go
neutral,day tomorrow daybreak
neutral,heard darted little bedchamber locked
negative,doubt
negative,uncle hard work afternoon
neutral,garden full ropes rope ladders torches gourds iron clamps crowbars alpenstocks pickaxes enough load ten men
negative,passed terrible night
positive,called early next day learn resolution uncle unchanged irrevocable
positive,also found cousin affianced wife warm subject father
neutral,next day five clock morning post chaise door
positive,gretchen old cook received keys house scarcely pausing wish anyone good started adventurous journey centre earth
neutral,altona suburb hamburg chief station kiel railway take us shores belt
neutral,twenty minutes moment departure holstein carriage entered station
positive,heavy luggage taken weighed labeled placed huge van
neutral,took tickets exactly seven clock seated opposite firstclass railway carriage
neutral,uncle said nothing
positive,busy examining papers among course famous parchment letters introduction danish consul pave way introduction governor iceland
positive,amusement looking window
negative,passed flat though fertile country occupation slightly monotonous
positive,three hours reached kiel baggage transferred steamer
negative,day us delay ten hours
positive,fact put uncle towering passion
positive,nothing walk pretty town bay
positive,length however went board half past ten steaming great belt
positive,dark night strong breeze rough sea nothing visible occasional fires shore lighthouse
neutral,seven morning left korsor little town western side seeland
neutral,took another railway three hours brought us capital copenhagen scarcely taking time refreshment uncle hurried present one letters introduction
neutral,director museum antiquities informed tourists bound iceland could assist us
positive,one wretched hope sustained
neutral,perhaps vessel bound distant parts
negative,alas
neutral,little danish schooner valkyrie sail second june reykjavik
positive,captain bjarne board rather surprised energy cordiality future passenger shook hand
positive,voyage iceland merely matter course
positive,uncle hand considered event sublime importance
positive,honest sailor took advantage professor enthusiasm double fare
neutral,tuesday morning seven clock board said bjarne handing us receipts
positive,excellent
neutral,capital
positive,glorious
neutral,remarked uncle sat late breakfast refresh boy take run town
positive,meal concluded went kongens nye torw king magnificent palace beautiful bridge canal near museum immense cenotaph thorwaldsen hideous naval groups castle rosenberg lions place none uncle even saw absorbed anticipated triumphs
positive,one thing struck fancy certain singular steeple situated island amak southeast quarter city copenhagen
positive,uncle ordered turn steps way accordingly went board steam ferry boat duty canal soon reached noted dockyard quay
negative,first instance crossed narrow streets met numerous groups galley slaves particolored trousers grey yellow working orders sticks severe taskmasters finally reached vor frelser kirk
positive,church exhibited nothing remarkable fact worthy professor attracted one circumstance rather elevated steeple started circular platform exterior staircase wound round summit
neutral,let us ascend said uncle
negative,never could climb church towers cried subject dizziness head
neutral,reason go
negative,want cure bad habit
positive,good sir tell come
positive,use wasting much valuable time
negative,impossible dispute dictatorial commands uncle
neutral,yielded groan
neutral,payment fee verger gave us key
neutral,one partial ascent
positive,uncle showed way running steps like schoolboy
neutral,followed well could though sooner outside tower head began swim
neutral,nothing eagle
positive,earth enough ambitious desire soar ever entered mind
negative,still things go badly ascended 150 steps near platform began feel rush cold air
neutral,could scarcely stand clutching railings looked upwards
negative,railing frail enough nothing skirted terrible winding staircase appeared stood ascend skies
neutral,henry
neutral,
negative,cried accents despair
negative,coward sir
neutral,said uncle pitiless tone
neutral,go say
neutral,reply possible
negative,yet keen air acted violently nervous system sky earth seemed swim round steeple rocked like ship
positive,legs gave way like drunken man
positive,crawled upon hands knees hauled slowly crawling like snake
negative,presently closed eyes allowed dragged upwards
positive,look around said uncle stern voice heaven knows profound abysses may look
positive,excellent practice
neutral,slowly shivering cold opened eyes
neutral,see
positive,first glance upwards cold fleecy clouds optical delusion appeared stand still steeple weathercock two selves carried swiftly along
neutral,far away one side could seen grassy plain lay sea bathed translucent light
positive,sund sound call could discovered beyond point elsinore crowded white sails distance looked like wings seagulls east could made far coast sweden
neutral,whole appeared magic panorama
neutral,faint bewildered remedy
neutral,rise stand must
neutral,despite protestations first lesson lasted quite hour
positive,nearly two hours later reached bosom mother earth like rheumatic old man bent double pain
neutral,enough one day said uncle rubbing hands begin tomorrow
neutral,remedy
positive,lessons lasted five days end period ascended blithely enough found able look depths without even winking degree pleasure
neutral,hour departure came last
positive,night worthy mr thompson brought us cordial letters introduction baron trampe governor iceland pictursson coadjutor bishop finsen mayor town reykjavik
negative,return uncle nearly crushed hands warmly shake
positive,second month two morning precious cargo luggage taken board good ship valkyrie
positive,followed politely introduced captain small cabin two standing bed places neither well ventilated comfortable
negative,cause science men expected suffer
positive,well fair wind
negative,cried uncle mellifluous accents
positive,excellent wind
positive,replied captain bjarne shall leave sound going free sails set
neutral,minutes afterwards schooner started wind canvas could carry entered channel
positive,hour later capital denmark seemed sink waves great distance coast elsinore
negative,uncle delighted moody dissatisfied appeared almost expect glimpse ghost hamlet
neutral,sublime madman thought doubtless would approve proceedings
positive,might perhaps even follow us centre earth resolve eternal doubts
negative,ghost anything else appeared upon ancient walls
positive,fact castle much later time heroic prince denmark
neutral,residence keeper strait sound sound fifteen thousand vessels nations pass every year
negative,castle kronborg soon disappeared murky atmosphere well tower helsinborg raises head swedish bank
positive,schooner began feel earnest breezes kattegat
neutral,valkyrie swift enough sailing boats uncertainty
neutral,cargo coal furniture pottery woolen clothing load corn
neutral,usual crew small five danes whole work
neutral,long voyage last
neutral,asked uncle
neutral,well think ten days replied skipper unless indeed meet northeast gales among faroe islands
negative,events considerable delay cried impatient professor
negative,mr hardwigg said captain fear
neutral,events shall get day
positive,towards evening schooner doubled cape skagen northernmost part denmark crossed skagerrak night skirted extreme point norway gut cape lindesnes reached northern seas
neutral,two days later far coast scotland somewhere near danish sailors call peterhead valkyrie stretched direct faroe islands orkney shetland
positive,vessel felt full force ocean waves wind shifting great difficulty made faroe isles
neutral,eighth day captain made myganness westernmost isles moment headed direct portland cape southern shores singular island bound
positive,voyage offered incident worthy record
negative,bore well uncle great annoyance even shame remarkably seasick
negative,mal de mer troubled prevented questioning captain bjarne subject sneffels means communication facilities transport
neutral,explanations adjourn period arrival
negative,time meanwhile spent lying bed groaning dwelling anxiously hoped termination voyage
negative,pity
positive,eleventh day sighted cape portland towered mount myrdals yokul weather clear made readily
negative,cape nothing huge mount granite standing naked alone meet atlantic waves
neutral,valkyrie kept coast steering westward
neutral,sides seen whole schools whales sharks
positive,hours came sight solitary rock ocean forming mighty vault foaming waves poured intense fury
neutral,islets westman appeared leap ocean low water scarcely seen right upon
neutral,moment schooner steered westward order round cape reykjanes western point iceland
positive,uncle great disgust unable even crawl deck heavy sea thus lost first view land promise
positive,forty eight hours later storm drove us far sea bare poles came sight land boarded pilot three hours dangerous navigation brought schooner safely anchor bay faxa reykjavik
positive,uncle came cabin pale haggard thin full enthusiasm eyes dilated pleasure satisfaction
neutral,nearly whole population town foot see us land
neutral,fact scarcely one expected goods periodical vessel
positive,professor hardwigg haste leave prison rather called hospital attempted caught hold hand led quarterdeck schooner took arm left hand pointed inland right northern part bay rose high two peaked mountain double cone covered eternal snow
negative,behold whispered awe stricken voice behold mount sneffels
negative,without remark put finger lips frowned darkly descended small boat awaited us
neutral,followed minutes stood upon soil mysterious iceland
positive,scarcely fairly shore appeared us man excellent appearance wearing costume military officer
neutral,however civil servant magistrate governor island baron trampe
neutral,professor knew deal
positive,therefore handed letters copenhagen brief conversation danish followed course stranger good reason know language conversed
neutral,afterwards heard however baron trampe placed entirely beck call professor hardwigg
neutral,uncle graciously received finsen mayor far costume went quite military governor also character occupation quite pacific
neutral,coadjutor pictursson absent episcopal visit northern portion diocese
positive,therefore compelled defer pleasure presented
positive,absence however compensated presence fridriksson professor natural science college reykjavik man invaluable ability
positive,modest scholar spoke languages save icelandic latin
neutral,therefore addressed language horace came understand one another
neutral,fact person thoroughly understand whole period residence benighted island
positive,three rooms house composed two placed service hours installed baggage amount rather astonished simple inhabitants reykjavik
negative,harry said uncle rubbing hands goes well worse difficulty
negative,worse difficulty
positive,cried fresh amazement
neutral,doubtless
neutral,iceland
neutral,nothing remains descend bowels earth
positive,well sir certain extent right
negative,go far concerned question
positive,want know get
negative,least part business way trouble
neutral,meantime hour lose
neutral,visit public library
neutral,likely may find manuscripts hand saknussemm
positive,shall glad consult
neutral,meanwhile replied take walk town
neutral,likewise
positive,feel interest subject said uncle
positive,curious island surface
neutral,bowed way reply put hat furred cloak went
positive,easy matter lose oneself two streets reykjavik therefore need ask way
negative,town lies flat marshy plain two hills
negative,vast field lava skirts one side falling away terraces towards sea
positive,hand large bay faxa bordered north enormous glacier sneffels bay valkyrie vessel anchor
positive,generally one two english french gunboats watch protect fisheries offing
neutral,however absent duty
neutral,longest streets reykjavik runs parallel shore
neutral,street merchants traders live wooden huts made beams wood painted red mere log huts find wilds america
neutral,street situated west runs toward little lake residences bishop personages engaged commerce
negative,soon seen wanted weary dismal thoroughfares
positive,strip discolored turf like old worn bit woolen carpet bit kitchen garden grew potatoes cabbage lettuce almost diminutive enough suggest idea lilliput
neutral,centre new commercial street found public cemetery enclosed earthen wall
neutral,though large appeared likely filled centuries
neutral,hence went house governor mere hut comparison mansion house hamburg palace alongside icelandic houses
neutral,little lake town church built simple protestant style composed calcined stones thrown volcanic action
positive,slightest doubt high winds red tiles blown great annoyance pastor congregation
neutral,upon eminence close hand national school taught hebrew english french danish
neutral,three hours tour complete
neutral,general impression upon mind sadness
positive,trees vegetation speak sides volcanic peaks huts turf earth like roofs houses
positive,thanks heat residences grass grows roof grass carefully cut hay
neutral,saw inhabitants excursion met crowd beach drying salting loading codfish principal article exportation
positive,men appeared robust heavy fair haired like germans pensive mien exiles higher scale ladder humanity eskimos thought much unhappy since superior perceptions compelled live within limits polar circle
positive,sometimes gave vent convulsive laugh chance smile
