Label,StopwordRemovedSentence
positive,electric bells speaking tubes afforded communication lower stories mantel stood electric clock precisely like mr fogg bedchamber beating second instant
positive,good said passepartout
neutral,suddenly observed hung clock card upon inspection proved programme daily routine house
neutral,comprised required servant eight morning exactly hour phileas fogg rose till half past eleven left house reform club details service tea toast twenty three minutes past eight shaving water thirty seven minutes past nine toilet twenty minutes ten
positive,everything regulated foreseen done half past eleven till midnight hour methodical gentleman retired
positive,mr fogg wardrobe amply supplied best taste
negative,pair trousers coat vest bore number indicating time year season turn laid wearing system applied master shoes
neutral,short house saville row must temple disorder unrest illustrious dissipated sheridan cosiness comfort method idealised
negative,study books would quite useless mr fogg reform two libraries one general literature law politics service
positive,moderate sized safe stood bedroom constructed defy fire well burglars passepartout found neither arms hunting weapons anywhere everything betrayed tranquil peaceable habits
positive,scrutinised house top bottom rubbed hands broad smile overspread features said joyfully wanted
neutral,ah shall get together mr fogg
neutral,domestic regular gentleman
neutral,repaired dining room nine windows open upon tasteful garden trees already gilded autumn colouring took place habitual table cover already laid
positive,breakfast consisted side dish broiled fish reading sauce scarlet slice roast beef garnished mushrooms rhubarb gooseberry tart morsel cheshire cheese whole washed several cups tea reform famous
positive,rose thirteen minutes one directed steps towards large hall sumptuous apartment adorned lavishly framed paintings
negative,flunkey handed uncut times proceeded cut skill betrayed familiarity delicate operation
positive,perusal paper absorbed phileas fogg quarter four whilst standard next task occupied till dinner hour
neutral,dinner passed breakfast done mr fogg appeared reading room sat pall mall twenty minutes six
negative,half hour later several members reform came drew fireplace coal fire steadily burning
positive,mr fogg usual partners whist andrew stuart engineer john sullivan samuel fallentin bankers thomas flanagan brewer gauthier ralph one directors bank england rich highly respectable personages even club comprises princes english trade finance
negative,well ralph said thomas flanagan robbery oh replied stuart bank lose money contrary broke ralph hope may put hands robber
positive,skilful detectives sent principal ports america continent clever fellow slips fingers got robber description asked stuart
positive,first place robber returned ralph positively
neutral,
negative,fellow makes fifty five thousand pounds robber perhaps manufacturer daily telegraph says gentleman phileas fogg whose head emerged behind newspapers made remark
neutral,bowed friends entered conversation
neutral,affair formed subject town talk occurred three days bank england
neutral,package banknotes value fifty five thousand pounds taken principal cashier table functionary moment engaged registering receipt three shillings sixpence
neutral,course could eyes everywhere
positive,let observed bank england reposes touching confidence honesty public
positive,neither guards gratings protect treasures gold silver banknotes freely exposed mercy first comer
positive,keen observer english customs relates one rooms bank one day curiosity examine gold ingot weighing seven eight pounds
positive,took scrutinised passed neighbour next man ingot going hand hand transferred end dark entry return place half hour
neutral,meanwhile cashier much raised head
neutral,present instance things gone smoothly
positive,package notes found five clock sounded ponderous clock drawing office amount passed account profit loss
positive,soon robbery discovered picked detectives hastened liverpool glasgow havre suez brindisi new york ports inspired proffered reward two thousand pounds five per cent
neutral,sum might recovered
negative,detectives also charged narrowly watching arrived left london rail judicial examination entered upon
positive,real grounds supposing daily telegraph said thief belong professional band
neutral,day robbery well dressed gentleman polished manners well air observed going fro paying room crime committed
positive,description easily procured sent detectives hopeful spirits ralph one despair apprehension
positive,papers clubs full affair everywhere people discussing probabilities successful pursuit reform club especially agitated several members bank officials
positive,ralph would concede work detectives likely vain thought prize offered would greatly stimulate zeal activity
positive,stuart far sharing confidence placed whist table continued argue matter
neutral,stuart flanagan played together phileas fogg fallentin partner
neutral,game proceeded conversation ceased excepting rubbers revived
positive,maintain said stuart chances favour thief must shrewd fellow well fly asked ralph
positive,country safe pshaw could go oh know
neutral,world big enough said phileas fogg low tone
negative,cut sir added handing cards thomas flanagan
neutral,discussion fell rubber stuart took thread
neutral,mean
positive,world grown smaller certainly returned ralph
positive,agree mr fogg
neutral,world grown smaller since man go round ten times quickly hundred years ago
positive,search thief likely succeed also thief get away easily good play mr stuart said phileas fogg
positive,incredulous stuart convinced hand finished said eagerly strange way ralph proving world grown smaller
negative,go round three months eighty days interrupted phileas fogg
positive,true gentlemen added john sullivan
positive,eighty days section rothal allahabad great indian peninsula railway opened
positive,estimate made daily telegraph london suez vi mont cenis brindisi rail steamboats 7 days suez bombay steamer 13 bombay calcutta rail 3 calcutta hong kong steamer 13 hong kong yokohama japan steamer 6 yokohama san francisco steamer 22 san francisco new york rail 7 new york london steamer rail 9 total 80 days yes eighty days exclaimed stuart excitement made false deal
negative,take account bad weather contrary winds shipwrecks railway accidents included returned phileas fogg continuing play despite discussion
positive,suppose hindoos indians pull rails replied stuart suppose stop trains pillage luggage vans scalp passengers included calmly retorted fogg adding threw cards two trumps stuart whose turn deal gathered went right theoretically mr fogg practically practically also mr stuart like see eighty days depends
positive,shall go heaven preserve
neutral,would wager four thousand pounds journey made conditions impossible quite possible contrary returned mr fogg
positive,well make journey round world eighty days yes like nothing better
negative,warn shall expense absurd cried stuart beginning annoyed persistency friend
neutral,come let go game deal said phileas fogg
negative,false deal stuart took pack feverish hand suddenly put
positive,well mr fogg said shall wager four thousand calm dear stuart said fallentin
negative,joke say wager returned stuart mean right said mr fogg turning others continued deposit twenty thousand baring willingly risk upon twenty thousand pounds cried sullivan
negative,twenty thousand pounds would lose single accidental delay unforeseen exist quietly replied phileas fogg
positive,mr fogg eighty days estimate least possible time journey made well used minimum suffices everything order exceed must jump mathematically trains upon steamers steamers upon trains jump mathematically joking true englishman joke talking serious thing wager replied phileas fogg solemnly
positive,bet twenty thousand pounds anyone wishes make tour world eighty days less nineteen hundred twenty hours hundred fifteen thousand two hundred minutes
positive,accept accept replied messrs stuart fallentin sullivan flanagan ralph consulting
positive,good said mr fogg
neutral,train leaves dover quarter nine
neutral,take evening asked stuart
neutral,evening returned phileas fogg
neutral,took consulted pocket almanac added today wednesday 2nd october shall due london room reform club saturday 21st december quarter nine p else twenty thousand pounds deposited name baring belong fact right gentlemen
neutral,cheque amount memorandum wager drawn signed six parties phileas fogg preserved stoical composure
positive,certainly bet win staked twenty thousand pounds half fortune foresaw might expend half carry difficult say unattainable project
negative,antagonists seemed much agitated much value stake scruples betting conditions difficult friend
negative,clock struck seven party offered suspend game mr fogg might make preparations departure
positive,quite ready tranquil response
negative,passepartout conscientiously studied programme duties surprised see master guilty inexactness appearing unaccustomed hour according rule due saville row precisely midnight
neutral,mr fogg repaired bedroom called passepartout passepartout reply
neutral,could called right hour
neutral,passepartout repeated mr fogg without raising voice
neutral,passepartout made appearance
neutral,called twice observed master
neutral,midnight responded showing watch
negative,know blame
negative,start dover calais ten minutes puzzled grin overspread passepartout round face clearly comprehended master
neutral,monsieur going leave home yes returned phileas fogg
negative,going round world passepartout opened wide eyes raised eyebrows held hands seemed collapse overcome stupefied astonishment
neutral,round world murmured
neutral,eighty days responded mr fogg
positive,moment lose trunks gasped passepartout unconsciously swaying head right left
neutral,trunks carpet bag two shirts three pairs stockings
neutral,buy clothes way
positive,bring mackintosh traveling cloak stout shoes though shall little walking
neutral,make haste passepartout tried reply could
positive,went mounted room fell chair muttered good
neutral,wanted remain quiet mechanically set making preparations departure
neutral,around world eighty days
negative,master fool
neutral,
positive,joke
positive,going dover good
positive,calais good
negative,passepartout away france five years would sorry set foot native soil
positive,perhaps would go far paris would eyes good see paris
positive,surely gentleman chary steps would stop doubt none less true going away domestic person hitherto
negative,eight clock passepartout packed modest carpet bag containing wardrobes master still troubled mind carefully shut door room descended mr fogg
positive,mr fogg quite ready
neutral,arm might observed red bound copy bradshaw continental railway steam transit general guide timetables showing arrival departure steamers railways
neutral,took carpet bag opened slipped goodly roll bank england notes would pass wherever might go
negative,forgotten nothing asked
positive,nothing monsieur mackintosh cloak good
neutral,take carpet bag handing passepartout
positive,take good care twenty thousand pounds passepartout nearly dropped bag twenty thousand pounds gold weighed
neutral,master man descended street door double locked end saville row took cab drove rapidly charing cross
negative,cab stopped railway station twenty minutes past eight
negative,passepartout jumped box followed master paying cabman enter station poor beggar woman child arms naked feet smeared mud head covered wretched bonnet hung tattered feather shoulders shrouded ragged shawl approached mournfully asked alms
positive,mr fogg took twenty guineas whist handed beggar saying good woman
positive,glad met passed
neutral,passepartout moist sensation eyes master action touched susceptible heart
positive,two first class tickets paris speedily purchased mr fogg crossing station train perceived five friends reform
positive,well gentlemen said see examine passport get back able judge whether accomplished journey agreed upon oh would quite unnecessary mr fogg said ralph politely
positive,trust word gentleman honour forget due london asked stuart
positive,eighty days saturday 21st december 1872 quarter nine p good bye gentlemen phileas fogg servant seated first class carriage twenty minutes nine five minutes later whistle screamed train slowly glided station
positive,night dark fine steady rain falling
neutral,phileas fogg snugly ensconced corner open lips
positive,passepartout yet recovered stupefaction clung mechanically carpet bag enormous treasure
negative,train whirling sydenham passepartout suddenly uttered cry despair
positive,matter asked mr fogg
negative,alas
positive,news bet spread reform club afforded exciting topic conversation members
neutral,club soon got papers throughout england
positive,boasted tour world talked disputed argued much warmth subject another alabama claim
negative,took sides phileas fogg large majority shook heads declared absurd impossible declared tour world could made except theoretically paper minimum time existing means travelling
negative,times standard morning post daily news twenty highly respectable newspapers scouted mr fogg project madness daily telegraph alone hesitatingly supported
negative,people general thought lunatic blamed reform club friends accepted wager betrayed mental aberration proposer
positive,articles less passionate logical appeared question geography one pet subjects english columns devoted phileas fogg venture eagerly devoured classes readers
positive,first rash individuals principally gentler sex espoused cause became still popular illustrated london news came portrait copied photograph reform club
neutral,readers daily telegraph even dared say
neutral,stranger things come pass last long article appeared 7th october bulletin royal geographical society treated question every point view demonstrated utter folly enterprise
negative,everything said travellers every obstacle imposed alike man nature
positive,miraculous agreement times departure arrival impossible absolutely necessary success
positive,might perhaps reckon arrival trains designated hours europe distances relatively moderate calculated upon crossing india three days united states seven could rely beyond misgiving upon accomplishing task
negative,accidents machinery liability trains run line collisions bad weather blocking snow phileas fogg
positive,would find travelling steamer winter mercy winds fogs
positive,uncommon best ocean steamers two three days behind time
negative,single delay would suffice fatally break chain communication phileas fogg miss even hour steamer would wait next would irrevocably render attempt vain
negative,article made great deal noise copied papers seriously depressed advocates rash tourist
neutral,everybody knows england world betting men higher class mere gamblers bet english temperament
neutral,members reform general public made heavy wagers phileas fogg set betting books race horse
positive,bonds issued made appearance change phileas fogg bonds offered par premium great business done
negative,five days article bulletin geographical society appeared demand began subside phileas fogg declined
neutral,offered packages first five ten last nobody would take less twenty fifty hundred
neutral,lord albemarle elderly paralytic gentleman advocate phileas fogg left
positive,noble lord fastened chair would given fortune able make tour world took ten years bet five thousand pounds phileas fogg
positive,folly well uselessness adventure pointed contented replying thing feasible first ought englishman fogg party dwindled everybody going bets stood hundred fifty two hundred one week departure incident occurred deprived backers price
negative,commissioner police sitting office nine clock one evening following telegraphic dispatch put hands suez london rowan commissioner police scotland yard found bank robber phileas fogg
negative,send without delay warrant arrest bombay
neutral,fix detective
neutral,effect dispatch instantaneous
negative,polished gentleman disappeared give place bank robber
negative,photograph hung rest members reform club minutely examined betrayed feature feature description robber provided police
positive,mysterious habits phileas fogg recalled solitary ways sudden departure seemed clear undertaking tour round world pretext wager end view elude detectives throw track
neutral,mongolia plied regularly brindisi bombay vi suez canal one fastest steamers belonging company always making ten knots hour brindisi suez nine half suez bombay
positive,two men promenading wharves among crowd natives strangers sojourning straggling village thanks enterprise lesseps fast growing town
positive,one british consul suez despite prophecies english government unfavourable predictions stephenson habit seeing office window english ships daily passing fro great canal old roundabout route england india cape good hope abridged least half
positive,small slight built personage nervous intelligent face bright eyes peering eyebrows incessantly twitching
negative,manifesting unmistakable signs impatience nervously pacing unable stand still moment
negative,fix one detectives dispatched england search bank robber task narrowly watch every passenger arrived suez follow seemed suspicious characters bore resemblance description criminal received two days police headquarters london
positive,detective evidently inspired hope obtaining splendid reward would prize success awaited feverish impatience easy understand arrival steamer mongolia say consul asked twentieth time steamer never behind time mr fix replied consul
neutral,bespoken yesterday port said rest way account craft
positive,repeat mongolia advance time required company regulations gained prize awarded excess speed come directly brindisi directly brindisi takes indian mails left saturday five p patience mr
neutral,fix late
neutral,really see description able recognise man even board mongolia man rather feels presence fellows consul recognises
positive,must scent scent like sixth sense combines hearing seeing smelling
negative,arrested one gentlemen time thief board answer slip fingers hope mr
positive,fix heavy robbery magnificent robbery consul fifty five thousand pounds
neutral,often windfalls
negative,burglars getting contemptible nowadays
neutral,fellow gets hung handful shillings mr
positive,fix said consul like way talking hope succeed fear find far easy
positive,see description singular resemblance honest man consul remarked detective dogmatically great robbers always resemble honest folks
positive,fellows rascally faces one course take remain honest otherwise would arrested hand
positive,artistic thing unmask honest countenances light task admit real art mr
neutral,fix evidently wanting tinge self conceit
neutral,little little scene quay became animated sailors various nations merchants ship brokers porters fellahs bustled fro steamer immediately expected
positive,weather clear slightly chilly
negative,minarets town loomed houses pale rays sun
neutral,jetty pier two thousand yards along extended roadstead
positive,number fishing smacks coasting boats retaining fantastic fashion ancient galleys discernible red sea
positive,passed among busy crowd fix according habit scrutinised passers keen rapid glance
neutral,half past ten
negative,steamer come exclaimed port clock struck
neutral,far returned companion
negative,long stop suez four hours long enough get coal
positive,thirteen hundred ten miles suez aden end red sea take fresh coal supply go suez directly bombay without putting anywhere good said fix
negative,robber board doubt get suez reach dutch french colonies asia route
positive,ought know would safe hour india english soil unless objected consul exceptionally shrewd
negative,english criminal know always better concealed london anywhere else observation furnished detective food thought meanwhile consul went away office
negative,fix left alone impatient ever presentiment robber board mongolia indeed left london intending reach new world would naturally take route vi india less watched difficult watch atlantic
negative,fix reflections soon interrupted succession sharp whistles announced arrival mongolia porters fellahs rushed quay dozen boats pushed shore go meet steamer
negative,soon gigantic hull appeared passing along banks eleven clock struck anchored road
positive,brought unusual number passengers remained deck scan picturesque panorama town greater part disembarked boats landed quay
positive,fix took position carefully examined face figure made appearance
neutral,presently one passengers vigorously pushing way importunate crowd porters came politely asked could point english consulate time showing passport wished visaed
neutral,fix instinctively took passport rapid glance read description bearer
negative,involuntary motion surprise nearly escaped description passport identical bank robber received scotland yard
neutral,passport asked
neutral,master master stayed board must go consul person establish identity oh necessary quite indispensable consulate corner square said fix pointing house two hundred steps
positive,go fetch master much pleased however disturbed passenger bowed fix returned steamer
positive,consul said without preamble strong reasons believing man passenger mongolia narrated passed concerning passport
negative,well mr fix replied consul shall sorry see rascal face perhaps come person suppose
positive,robber quite like leave traces flight behind besides obliged passport countersigned shrewd think consul come passport visaed yes
positive,passports good annoying honest folks aiding flight rogues
positive,assure quite thing hope visa passport
negative,passport genuine right refuse still must keep man get warrant arrest london ah look
negative,cannot consul finish sentence spoke knock heard door two strangers entered one servant fix met quay
positive,master held passport request consul would favour visa
positive,consul took document carefully read whilst fix observed rather devoured stranger eyes corner room
neutral,mr phileas fogg said consul reading passport
positive,man servant frenchman named passepartout london yes going bombay good sir
negative,know visa useless passport required know sir replied phileas fogg wish prove visa came suez well sir consul proceeded sign date passport added official seal
neutral,mr fogg paid customary fee coldly bowed went followed servant
neutral,well queried detective
positive,well looks acts like perfectly honest man replied consul
neutral,possibly question
negative,think consul phlegmatic gentleman resembles feature feature robber whose description received concede know descriptions make certain interrupted fix
positive,servant seems less mysterious master besides frenchman help talking
negative,excuse little consul fix started search passepartout
neutral,meanwhile mr fogg leaving consulate repaired quay gave orders passepartout went mongolia boat descended cabin
positive,took note book contained following memoranda left london wednesday october 2nd 8 45 p reached paris thursday october 3rd 7 20 left paris thursday 8 40 reached turin mont cenis friday october 4th 6 35 left turin friday 7 20 arrived brindisi saturday october 5th 4 p sailed mongolia saturday 5 p reached suez wednesday october 9th 11 total hours spent 158 days six days half dates inscribed itinerary divided columns indicating month day month day stipulated actual arrivals principal point paris brindisi suez bombay calcutta singapore hong kong yokohama san francisco new york london 2nd october 21st december giving space setting gain made loss suffered arrival locality
positive,methodical record thus contained account everything needed mr fogg always knew whether behind hand advance time
negative,friday october 9th noted arrival suez observed yet neither gained lost
neutral,sat quietly breakfast cabin never thinking inspecting town one englishmen wont see foreign countries eyes domestics
positive,well friend said detective coming passport visaed ah monsieur responded passepartout
positive,thanks yes passport right looking yes travel fast seem journeying dream
positive,suez yes egypt certainly egypt africa africa africa repeated passepartout
neutral,think monsieur idea go farther paris saw paris twenty minutes past seven twenty minutes nine morning northern lyons stations windows car driving rain
positive,regret seen p la chaise circus champs elys es great hurry master
neutral,way must buy shoes shirts
positive,came away without trunks carpet bag show excellent shop getting want really monsieur kind walked together passepartout chatting volubly went along
neutral,said let lose steamer plenty time twelve clock passepartout pulled big watch
neutral,twelve exclaimed eight minutes ten watch slow watch
positive,family watch monsieur come great grandfather
neutral,vary five minutes year
positive,perfect chronometer look see said fix
neutral,kept london time two hours behind suez
neutral,ought regulate watch noon country regulate watch
negative,never well agree sun much worse sun monsieur
negative,sun wrong worthy fellow returned watch fob defiant gesture
neutral,minutes silence fix resumed left london hastily rather think
positive,last friday eight clock evening monsieur fogg came home club three quarters hour afterwards master going always straight ahead
negative,going round world round world cried fix
positive,yes eighty days
neutral,says wager us believe word
neutral,common sense
neutral,something else wind ah
positive,mr fogg character say rich doubt carrying enormous sum brand new banknotes
positive,spare money way either offered large reward engineer mongolia gets us bombay well advance time known master long time entered service day left london effect replies upon already suspicious excited detective may imagined
positive,hasty departure london soon robbery large sum carried mr fogg eagerness reach distant countries pretext eccentric foolhardy bet confirmed fix theory
positive,continued pump poor passepartout learned really knew little nothing master lived solitary existence london said rich though one knew whence came riches mysterious impenetrable affairs habits
positive,fix felt sure phileas fogg would land suez really going bombay
neutral,bombay far asked passepartout
positive,pretty far
positive,ten days voyage sea country bombay india asia certainly deuce
negative,going tell one thing worries burner burner gas burner forgot turn moment burning expense
negative,calculated monsieur lose two shillings every four twenty hours exactly sixpence earn understand longer journey fix pay attention passepartout trouble gas
neutral,probable
neutral,listening cogitating project
negative,passepartout reached shop fix left companion make purchases recommending miss steamer hurried back consulate
positive,fully convinced fix quite recovered equanimity
negative,consul said longer doubt
neutral,spotted man
negative,passes odd stick going round world eighty days sharp fellow returned consul counts returning london putting police two countries track see replied fix
negative,mistaken mistaken robber anxious prove visa passed suez
positive,idea listen reported words important parts conversation passepartout
neutral,short said consul appearances wholly man
negative,going send dispatch london warrant arrest dispatched instantly bombay take passage board mongolia follow rogue india english ground arrest politely warrant hand hand shoulder uttered words cool careless air detective took leave consul repaired telegraph office whence sent dispatch seen london police office
positive,quarter hour later found fix small bag hand proceeding board mongolia ere many moments longer noble steamer rode full steam upon waters red sea
positive,mongolia thanks vigorous exertions engineer seemed likely rapid speed reach destination considerably within time
positive,greater part passengers brindisi bound india bombay others calcutta way bombay nearest route thither railway crosses indian peninsula
positive,among passengers number officials military officers various grades latter either attached regular british forces commanding sepoy troops receiving high salaries ever since central government assumed powers east india company sub lieutenants get 280 brigadiers 2 400 generals divisions 4 000
positive,military men number rich young englishmen travels hospitable efforts purser time passed quickly mongolia best fare spread upon cabin tables breakfast lunch dinner eight clock supper ladies scrupulously changed toilets twice day hours whirled away sea tranquil music dancing games
positive,red sea full caprice often boisterous like long narrow gulfs
negative,wind came african asian coast mongolia long hull rolled fearfully
negative,ladies speedily disappeared pianos silent singing dancing suddenly ceased
positive,yet good ship ploughed straight unretarded wind wave towards straits bab el mandeb
neutral,phileas fogg time
negative,might thought anxiety would constantly watching changes wind disorderly raging billows every chance short might force mongolia slacken speed thus interrupt journey
negative,thought possibilities betray fact outward sign
negative,always impassible member reform club incident could surprise unvarying ship chronometers seldom curiosity even go upon deck passed memorable scenes red sea cold indifference care recognise historic towns villages along borders raised picturesque outlines sky betrayed fear dangers arabic gulf old historians always spoke horror upon ancient navigators never ventured without propitiating gods ample sacrifices
neutral,eccentric personage pass time mongolia
positive,made four hearty meals every day regardless persistent rolling pitching part steamer played whist indefatigably found partners enthusiastic game
neutral,tax collector way post goa rev
positive,decimus smith returning parish bombay brigadier general english army rejoin brigade benares made party mr fogg played whist hour together absorbing silence
neutral,passepartout escaped sea sickness took meals conscientiously forward cabin
positive,rather enjoyed voyage well fed well lodged took great interest scenes passing consoled delusion master whim would end bombay
positive,pleased day leaving suez find deck obliging person walked chatted quays
positive,mistaken said approaching person amiable smile gentleman kindly volunteered guide suez ah
neutral,quite recognise
negative,servant strange englishman monsieur fix monsieur fix resumed passepartout charmed find board
positive,bound like bombay capital
neutral,made trip several times
positive,one agents peninsular company know india yes replied fix spoke cautiously
positive,curious place india oh curious
neutral,mosques minarets temples fakirs pagodas tigers snakes elephants
positive,hope ample time see sights hope monsieur fix
positive,see man sound sense ought spend life jumping steamer upon railway train railway train upon steamer pretending make tour world eighty days
positive,gymnastics may sure cease bombay mr fogg getting well asked fix natural tone world
neutral,quite well
positive,eat like famished ogre sea air never see master deck never least curiosity know mr passepartout pretended tour eighty days may conceal secret errand perhaps diplomatic mission faith monsieur fix assure know nothing would give half crown find meeting passepartout fix got habit chatting together latter making point gain worthy man confidence
positive,frequently offered glass whiskey pale ale steamer bar room passepartout never failed accept graceful alacrity mentally pronouncing fix best good fellows
negative,meanwhile mongolia pushing forward rapidly 13th mocha surrounded ruined walls whereon date trees growing sighted mountains beyond espied vast coffee fields
positive,passepartout ravished behold celebrated place thought circular walls dismantled fort looked like immense coffee cup saucer
negative,following night passed strait bab el mandeb means arabic bridge tears next day put steamer point north west aden harbour take coal
negative,matter fuelling steamers serious one distances coal mines costs peninsular company eight hundred thousand pounds year
positive,distant seas coal worth three four pounds sterling ton
positive,mongolia still sixteen hundred fifty miles traverse reaching bombay obliged remain four hours steamer point coal
positive,delay foreseen affect phileas fogg programme besides mongolia instead reaching aden morning 15th due arrived evening 14th gain fifteen hours
neutral,mr fogg servant went ashore aden passport visaed fix unobserved followed
neutral,visa procured mr fogg returned board resume former habits passepartout according custom sauntered among mixed population somalis banyans parsees jews arabs europeans comprise twenty five thousand inhabitants aden
neutral,gazed wonder upon fortifications make place gibraltar indian ocean vast cisterns english engineers still work two thousand years engineers solomon
positive,curious curious said passepartout returning steamer
negative,see means useless travel man wants see something new six p mongolia slowly moved roadstead soon indian ocean
positive,hundred sixty eight hours reach bombay sea favourable wind north west sails aiding engine
positive,steamer rolled little ladies fresh toilets reappeared deck singing dancing resumed
positive,trip accomplished successfully passepartout enchanted congenial companion chance secured person delightful fix
neutral,sunday october 20th towards noon came sight indian coast two hours later pilot came board
positive,range hills lay sky horizon soon rows palms adorn bombay came distinctly view
