Label,StopwordRemovedSentence
positive,seemed suffered either companions bleeding nicholl reassured finding hemorrhage came slight wound shoulder mere graze bound carefully
negative,still barbicane long time coming frightened friends spare friction
neutral,breathes though said nicholl putting ear chest wounded man
positive,yes replied ardan breathes like man notion daily operation
negative,rub nicholl let us rub harder two improvised practitioners worked hard well barbicane recovered senses
positive,opened eyes sat took two friends hands first words nicholl moving nicholl ardan looked yet troubled projectile first thought traveler car
positive,well really moving repeated michel ardan
neutral,quietly resting soil florida asked nicholl
neutral,bottom gulf mexico added michel ardan
neutral,idea exclaimed president
neutral,double hypothesis suggested companions effect recalling senses
neutral,case could decide position projectile
positive,apparent immovability want communication outside prevented solving question
neutral,perhaps projectile unwinding course space
negative,perhaps short rise fallen upon earth even gulf mexico fall narrowness peninsula florida would render impossible
positive,case serious problem interesting one must solved soon possible
positive,thus highly excited barbicane moral energy triumphed physical weakness rose feet
neutral,listened
positive,outside perfect silence thick padding enough intercept sounds coming earth
negative,one circumstance struck barbicane viz temperature inside projectile singularly high
neutral,president drew thermometer case consulted
neutral,instrument showed 81 fahr
positive,yes exclaimed yes moving
neutral,stifling heat penetrating partitions projectile produced friction atmospheric strata
negative,soon diminish already floating space nearly stifled shall suffer intense cold
neutral,said michel ardan
positive,according showing barbicane already beyond limits terrestrial atmosphere without doubt michel
neutral,listen
neutral,fifty five minutes past ten gone eight minutes initiatory speed checked friction six seconds would enough us pass forty miles atmosphere surrounds globe replied nicholl proportion estimate diminution speed friction proportion one third nicholl
neutral,diminution considerable according calculations nothing less
neutral,initiatory speed 12 000 yards leaving atmosphere speed would reduced 9 165 yards
positive,case already passed interval said michel ardan friend nicholl lost two bets four thousand dollars columbiad burst five thousand dollars projectile risen six miles
negative,nicholl pay let us prove first said captain pay afterward
negative,quite possible barbicane reasoning correct lost nine thousand dollars
neutral,new hypothesis presents mind annuls wager asked barbicane quickly
positive,hypothesis reason fire never set powder started goodness captain exclaimed michel ardan hypothesis worthy brain
positive,cannot serious one
negative,half annihilated shock
neutral,recall life
positive,president shoulder still bleeding blow received granted replied nicholl one question well captain hear detonation certainly ought loud replied ardan much surprised certainly hear detonation barbicane either well said nicholl
neutral,well murmured president hear detonation three friends looked disconcerted air
neutral,quite inexplicable phenomenon
neutral,projectile started consequently must detonation
positive,let us first find said barbicane let panel simple operation soon accomplished
negative,nuts held bolts outer plates right hand scuttle gave way pressure english wrench
negative,bolts pushed outside buffers covered india rubber stopped holes let
positive,immediately outer plate fell back upon hinges like porthole lenticular glass closed scuttle appeared
positive,similar one let thick partition opposite side projectile another top dome finally fourth middle base
neutral,could therefore make observations four different directions firmament side direct windows earth moon upper openings projectile
neutral,barbicane two companions immediately rushed uncovered window
neutral,lit ray light
negative,profound darkness surrounded however prevent president exclaiming friends fallen back upon earth submerged gulf mexico
positive,yes
neutral,mounting space
positive,see stars shining night impenetrable darkness heaped earth us hurrah
positive,hurrah exclaimed michel ardan nicholl one voice
negative,indeed thick darkness proved projectile left earth soil brilliantly lit moon beams would visible travelers lying surface
negative,darkness also showed projectile passed atmospheric strata diffused light spread air would reflected metal walls reflection wanting
neutral,light would lit window window dark
negative,doubt longer possible travelers left earth
negative,lost said nicholl
positive,congratulate replied ardan
neutral,nine thousand dollars said captain drawing roll paper dollars pocket
neutral,receipt asked barbicane taking sum
positive,mind answered nicholl business like coolly seriously strong box president drew forth notebook tore blank leaf wrote proper receipt pencil dated signed usual flourish 1 gave captain carefully placed pocketbook
neutral,michel ardan taking hat bowed two companions without speaking
neutral,much formality circumstances left speechless
neutral,never seen anything american 1 purely french habit
neutral,affair settled barbicane nicholl returned window watching constellations
positive,stars looked like bright points black sky
neutral,side could see orb night traveling east west would rise degrees toward zenith
positive,absence drew following remark ardan moon perchance fail rendezvous alarm said barbicane future globe post cannot see side let us open barbicane leaving window open opposite scuttle attention attracted approach brilliant object
neutral,enormous disc whose colossal dimension could estimated
positive,face turned earth bright
neutral,one might thought small moon reflecting light large one
positive,advanced great speed seemed describe orbit round earth would intersect passage projectile
negative,body revolved upon axis exhibited phenomena celestial bodies abandoned space
neutral,ah exclaimed michel ardan
neutral,another projectile barbicane answer
negative,appearance enormous body surprised troubled
negative,collision possible might attended deplorable results either projectile would deviate path shock breaking impetus might precipitate earth lastly might irresistibly drawn away powerful asteroid
negative,president caught glance consequences three hypotheses either would one way bring experiment unsuccessful fatal termination
neutral,companions stood silently looking space
neutral,object grew rapidly approached optical illusion projectile seemed throwing
neutral,jove exclaimed michel ardan shall run one another instinctively travelers drew back
positive,dread great last many seconds
positive,asteroid passed several hundred yards projectile disappeared much rapidity course face opposite moon suddenly merged perfect darkness space
positive,happy journey exclaimed michel ardan sigh relief
positive,surely infinity space large enough poor little projectile walk without fear
negative,portentous globe nearly struck us know replied barbicane
neutral,oh indeed
positive,know everything said barbicane simple meteorite enormous one attraction earth retained satellite possible exclaimed michel ardan earth two moons like neptune yes friends two moons though passes generally one second moon small speed great inhabitants earth cannot see
positive,noticing disturbances french astronomer petit able determine existence second satellite calculate elements
positive,according observations meteorite accomplish revolution around earth three hours twenty minutes implies wonderful rate speed astronomers admit existence satellite asked nicholl
neutral,replied barbicane like us met could longer doubt
negative,indeed think meteorite struck projectile would much embarrassed us give us means deciding position space said ardan
neutral,distance known met exactly four thousand six hundred fifty miles surface terrestrial globe two thousand french leagues exclaimed michel ardan
neutral,beats express trains pitiful globe called earth think replied nicholl consulting chronometer eleven clock thirteen minutes since left american continent thirteen minutes said barbicane
positive,yes said nicholl initiatory speed twelve thousand yards kept shall made twenty thousand miles hour well friends said president insoluble question still remains
positive,hear detonation columbiad want answer conversation dropped barbicane began thoughtfully let shutter second side
positive,succeeded uncovered glass moon filled projectile brilliant light
negative,nicholl economical man put gas useless whose brilliancy prevented observation inter planetary space
positive,lunar disc shone wonderful purity
neutral,rays longer filtered vapory atmosphere terrestrial globe shone glass filling air interior projectile silvery reflections
negative,black curtain firmament reality heightened moon brilliancy void ether unfavorable diffusion eclipse neighboring stars
positive,heavens thus seen presented quite new aspect one human eye could never dream
positive,one may conceive interest bold men watched orb night great aim journey
neutral,motion earth satellite insensibly nearing zenith mathematical point ought attain ninety six hours later
positive,mountains plains every projection clearly discernible eyes observing spot upon earth light developed space wonderful intensity
positive,disc shone like platinum mirror
negative,earth flying feet travelers lost recollection
neutral,captain nicholl first recalled attention vanishing globe
negative,yes said michel ardan let us ungrateful
neutral,since leaving country let last looks directed
positive,wish see earth quite hidden eyes satisfy companions barbicane began uncover window bottom projectile would allow observe earth direct
negative,disc force projection beaten base removed without difficulty
positive,fragments placed carefully wall might serve upon occasion
neutral,circular gap appeared nineteen inches diameter hollowed lower part projectile
positive,glass cover six inches thick strengthened upper fastenings closed tightly
neutral,beneath fixed aluminum plate held place bolts
neutral,screws undone bolts let go plate fell visible communication established interior exterior
neutral,michel ardan knelt glass
neutral,cloudy seemingly opaque
neutral,well exclaimed earth earth said barbicane
neutral,
positive,little thread silver crescent doubtless michel
negative,four days moon full time shall reach earth new appear us slender crescent soon disappear days enveloped utter darkness earth repeated michel ardan looking eyes thin slip native planet
neutral,explanation given president barbicane correct
positive,earth respect projectile entering last phase
neutral,octant showed crescent finely traced dark background sky
positive,light rendered bluish thick strata atmosphere less intense crescent moon considerable dimensions looked like enormous arch stretched across firmament
positive,parts brilliantly lighted especially concave part showed presence high mountains often disappearing behind thick spots never seen lunar disc
neutral,rings clouds placed concentrically round terrestrial globe
positive,travelers trying pierce profound darkness brilliant cluster shooting stars burst upon eyes
negative,hundreds meteorites ignited friction atmosphere irradiated shadow luminous train lined cloudy parts disc fire
neutral,period earth perihelion month december propitious shooting stars astronomers counted many twenty four thousand hour
positive,michel ardan disdaining scientific reasonings preferred thinking earth thus saluting departure three children brilliant fireworks
positive,indeed saw globe lost solar world rising setting great planets like simple morning evening star
neutral,globe left affections nothing fugitive crescent
positive,long three friends look without speaking though united heart projectile sped onward ever decreasing speed
positive,irresistible drowsiness crept brain
neutral,weariness body mind
positive,doubt excitement last hours passed upon earth reaction inevitable
positive,well said nicholl since must sleep let us sleep stretching couches three soon profound slumber
negative,forgotten quarter hour barbicane sat suddenly rousing companions loud voice exclaimed found found asked michel ardan jumping bed
neutral,reason hear detonation columbiad said nicholl
positive,could found calmer peaceful spot sleep
negative,earth houses towns cottages country feel every shock given exterior globe
neutral,sea vessels rocked waves still motion air balloon oscillates incessantly fluid strata divers densities
positive,projectile alone floating perfect space midst perfect silence offered perfect repose
positive,thus sleep adventurous travelers might indefinitely prolonged unexpected noise awakened seven clock morning 2nd december eight hours departure
positive,noise natural barking
neutral,dogs
neutral,dogs exclaimed michel ardan rising
neutral,hungry said nicholl
negative,jove replied michel forgotten asked barbicane
neutral,looked found one animals crouched divan
negative,terrified shaken initiatory shock remained corner till voice returned pangs hunger
positive,amiable diana still confused crept retreat though without much persuasion michel ardan encouraging gracious words
neutral,come diana said come girl
positive,thou whose destiny marked cynegetic annals thou pagans would given companion god anubis christians friend st roch thou art rushing interplanetary space wilt perhaps eve selenite dogs
positive,come diana come diana flattered advanced degrees uttering plaintive cries
positive,good said barbicane see eve adam adam replied michel adam cannot far somewhere must call
neutral,satellite
neutral,satellite satellite appear
negative,diana would leave howling
negative,found however bruised gave pie silenced complaints
negative,satellite seemed quite lost
negative,hunt long time finding one upper compartments projectile whither unaccountable shock must violently hurled
negative,poor beast much hurt piteous state
neutral,devil said michel
positive,brought unfortunate dog great care
negative,skull broken roof seemed unlikely could recover shock
positive,meanwhile stretched comfortably cushion
positive,heaved sigh
positive,take care said michel responsible existence
negative,would rather lose arm paw poor satellite saying offered water wounded dog swallowed avidity
neutral,attention paid travelers watched earth moon attentively
positive,earth discernible cloudy disc ending crescent rather contracted previous evening expanse still enormous compared moon approaching nearer nearer perfect circle
negative,jove said michel ardan really sorry start earth full say globe opposition sun said nicholl
neutral,seen continents seas new light first resplendent solar rays latter cloudy represented maps world
positive,like seen poles earth eye man never yet rested dare say replied barbicane earth full moon would new say invisible rays sun
positive,better us see destination wish reach point departure right barbicane replied captain nicholl besides reached moon shall time long lunar nights consider leisure globe likenesses swarm likenesses exclaimed michel ardan likenesses selenites
neutral,inhabit new world peopled projectile
neutral,barbicane likeness barbicane nicholl
positive,beyond us around us human nature end population microcosm become pure selenites eighty eight hours replied captain
neutral,means say asked michel ardan
neutral,half past eight replied nicholl
negative,well retorted michel impossible find even shadow reason go breakfast indeed inhabitants new star could live without eating stomachs suffering imperious laws hunger
positive,michel ardan frenchman declared chief cook important function raised rival
neutral,gas gave sufficient heat culinary apparatus provision box furnished elements first feast
positive,breakfast began three bowls excellent soup thanks liquefaction hot water precious cakes liebig prepared best parts ruminants pampas
positive,soup succeeded beefsteaks compressed hydraulic press tender succulent brought straight kitchen english eating house
positive,michel imaginative maintained even red preserved vegetables fresher nature said amiable michel succeeded dish meat followed cups tea bread butter american fashion
positive,beverage declared exquisite due infusion choicest leaves emperor russia given chests benefit travelers
positive,lastly crown repast ardan brought fine bottle nuits found chance provision box
neutral,three friends drank union earth satellite
positive,already done enough generous wine distilled slopes burgundy sun chose part party
negative,moment projectile emerged conical shadow cast terrestrial globe rays radiant orb struck lower disc projectile direct occasioned angle moon orbit makes earth
neutral,sun exclaimed michel ardan
neutral,doubt replied barbicane expected said michel conical shadow earth leaves space extends beyond moon far beyond atmospheric refraction taken consideration said barbicane
positive,moon enveloped shadow centers three stars sun earth moon one straight line
neutral,nodes coincide phases moon eclipse
negative,started eclipse moon passage would shadow would pity though floating space projectile bathed solar rays receive light heat
positive,economizes gas every respect good economy indeed rays atmosphere temper either temperature brilliancy projectile grew warm bright passed suddenly winter summer
negative,moon sun beneath inundating fire
positive,pleasant said nicholl
neutral,think said michel ardan
neutral,little earth spread aluminum planet green peas twenty four hours
positive,one fear walls projectile might melt calm worthy friend replied barbicane projectile withstood much higher temperature slid strata atmosphere
positive,surprised look like meteor fire eyes spectators florida j maston think roasted astonishes said barbicane
negative,danger provided feared said nicholl simply
positive,never mentioned sublime captain exclaimed michel ardan clasping friend hand
positive,barbicane began settle projectile never leave
neutral,one must remember aerial car base superficies fifty four square feet
neutral,height roof twelve feet
positive,carefully laid inside little encumbered instruments traveling utensils particular place left three travelers certain freedom movement
positive,thick window inserted bottom could bear amount weight barbicane companions walked upon solid plank sun striking directly rays lit interior projectile beneath thus producing singular effects light
positive,began investigating state store water provisions neither suffered thanks care taken deaden shock
neutral,provisions abundant plentiful enough last three travelers year
negative,barbicane wished cautious case projectile land part moon utterly barren
negative,water reserve brandy consisted fifty gallons enough two months according last observations astronomers moon low dense thick atmosphere least deep valleys springs streams could fail
negative,thus passage first year settlement lunar continent adventurous explorers would suffer neither hunger thirst
neutral,air projectile
positive,secure
neutral,reiset regnaut apparatus intended production oxygen supplied chlorate potassium two months
positive,necessarily consumed certain quantity gas obliged keep producing substance temperature 400
positive,safe
positive,apparatus wanted little care
neutral,enough renew oxygen must absorb carbonic acid produced expiration
negative,last twelve hours atmosphere projectile become charged deleterious gas
negative,nicholl discovered state air observing diana panting painfully
positive,carbonic acid phenomenon similar produced famous grotto del cane collected bottom projectile owing weight
negative,poor diana head low would suffer masters presence gas
negative,captain nicholl hastened remedy state things placing floor several receivers containing caustic potash shook time substance greedy carbonic acid soon completely absorbed thus purifying air
neutral,inventory instruments begun
negative,thermometers barometers resisted one minimum thermometer glass broken
positive,excellent aneroid drawn wadded box contained hung wall
negative,course affected marked pressure air inside projectile also showed quantity moisture contained
neutral,moment needle oscillated 25 24 25 08
positive,fine weather
positive,barbicane also brought several compasses found intact
neutral,one must understand present conditions needles acting wildly without constant direction
negative,indeed distance earth magnetic pole could perceptible action upon apparatus box placed lunar disc might perhaps exhibit strange phenomena
positive,case would interesting see whether earth satellite submitted like magnetic influence
positive,hypsometer measure height lunar mountains sextant take height sun glasses would useful neared moon instruments carefully looked pronounced good spite violent shock
neutral,pickaxes different tools nicholl especial choice sacks different kinds grain shrubs michel ardan hoped transplant selenite ground stowed away upper part projectile
neutral,sort granary loaded things extravagant frenchman heaped
positive,one knew good tempered fellow explain
negative,climbed cramp irons riveted walls kept inspection
positive,arranged rearranged plunged hand rapidly certain mysterious boxes singing one falsest voices old french refrain enliven situation
positive,barbicane observed interest guns arms damaged
positive,important heavily loaded help lessen fall projectile drawn lunar attraction passed point neutral attraction moon surface fall ought six times less rapid would earth surface thanks difference bulk
positive,inspection ended general satisfaction returned watch space side windows lower glass coverlid
neutral,view
positive,whole extent celestial sphere swarmed stars constellations wonderful purity enough drive astronomer mind
positive,one side sun like mouth lighted oven dazzling disc without halo standing dark background sky
negative,moon returning fire reflection apparently motionless midst starry world
neutral,large spot seemingly nailed firmament bordered silvery cord earth
positive,nebulous masses like large flakes starry snow zenith nadir immense ring formed impalpable dust stars milky way midst sun ranks star fourth magnitude
positive,observers could take eyes novel spectacle description could give adequate idea
neutral,reflections suggested
neutral,emotions hitherto unknown awoke souls
positive,barbicane wished begin relation journey first impressions hour hour took notes facts happening beginning enterprise
positive,wrote quietly large square writing business like style
neutral,time nicholl calculator looked minutes passage worked figures unparalleled dexterity
negative,michel ardan chatted first barbicane answer nicholl hear diana understood none theories lastly questioning answering going coming busy thousand details one time bent lower glass another roosting heights projectile always singing
neutral,microcosm represented french loquacity excitability beg believe well represented
positive,day rather expression correct lapse twelve hours forms day upon earth closed plentiful supper carefully prepared
positive,accident nature yet happened shake travelers confidence full hope already sure success slept peacefully projectile uniformly decreasing speed crossing sky
neutral,word night however scarcely applicable
neutral,position projectile regard sun change
negative,astronomically daylight lower part night upper narrative words used represent lapse time rising setting sun upon earth
positive,travelers sleep rendered peaceful projectile excessive speed seemed absolutely motionless
negative,motion betrayed onward course space
positive,rate progress however rapid might cannot produce sensible effect human frame takes place vacuum mass air circulates body carried
neutral,inhabitant earth perceives speed however rate 68 000 miles per hour
negative,motion conditions felt repose body repose remain long strange force displaces moving stop unless obstacle comes way
negative,indifference motion repose called inertia
positive,barbicane companions might believed perfectly stationary shut projectile indeed effect would outside
neutral,moon increasing might sworn floating complete stagnation
positive,morning 3rd december travelers awakened joyous unexpected noise crowing cock sounded car
positive,michel ardan first feet climbed top projectile shutting box lid partly open said low voice hold tongue
neutral,creature spoil design nicholl barbicane awake
negative,cock said nicholl
positive,friends michel answered quickly wished awake rural sound saying gave vent splendid cock doodledoo would done honor proudest poultry yards
positive,two americans could help laughing
positive,fine talent said nicholl looking suspiciously companion
positive,yes said michel joke country
positive,gallic play cock best society turning conversation barbicane know thinking night answered president
neutral,cambridge friends
negative,already remarked ignoramus mathematical subjects impossible find savants observatory able calculate initiatory speed projectile ought leaving columbiad order attain moon mean say replied barbicane attain neutral point terrestrial lunar attractions equal starting point situated nine tenths distance traveled projectile would simply fall upon moon account weight said michel could calculate initiatory speed nothing easier replied barbicane
neutral,knew make calculation asked michel ardan
positive,perfectly
negative,nicholl would made observatory saved us trouble well old barbicane replied michel might cut head beginning feet could made solve problem know algebra answered barbicane quietly
positive,ah eaters x 1 think said said algebra michel said barbicane use forge without hammer plow without plowshare hardly well algebra tool like plow hammer good tool know use seriously quite seriously use tool presence interest show calculated initiatory speed car yes worthy friend taking consideration elements problem distance center earth center moon radius earth bulk bulk moon tell exactly ought initiatory speed projectile simple formula let us see shall see shall give real course drawn projectile moon earth considering motion round sun
positive,shall consider two orbs perfectly motionless answer purpose trying solve problem called problem three bodies integral calculus yet far enough advanced said michel ardan sly tone mathematics said last word certainly replied barbicane
positive,well perhaps selenites carried integral calculus farther bye integral calculus calculation converse differential replied barbicane seriously
positive,much obliged clear doubt continued barbicane slip paper bit pencil half hour found required formula half hour elapsed barbicane raising head showed michel ardan page covered algebraical signs general formula solution contained
neutral,well nicholl understand means course michel replied captain
negative,signs seem cabalistic form plainest clearest logical language know read pretend nicholl asked michel means hieroglyphics incomprehensible egyptian ibis find initiatory speed necessary give projectile incontestably replied nicholl even formula always tell speed point transit word word cunning president michel difficult part barbicane done get equation shall satisfy conditions problem
neutral,remainder question arithmetic requiring merely knowledge four rules something replied michel ardan life could addition right defined rule chinese puzzle allowed one obtain sorts totals
neutral,expression v zero see equation speed projectile leaving atmosphere said nicholl point must calculate velocity since know already velocity departure exactly one half times leaving atmosphere understand said michel
neutral,simple calculation said barbicane
neutral,simple retorted michel
negative,means projectile reached limits terrestrial atmosphere already lost one third initiatory speed much yes friend merely friction atmospheric strata
positive,understand faster goes resistance meets air admit answered michel understand although x zero algebraic formula rattling head like nails bag first effects algebra replied barbicane finish going prove given number different expressions work value finish replied michel
positive,barbicane took paper began make calculations great rapidity
neutral,nicholl looked greedily read work proceeded
neutral,
negative,last cried
positive,clear asked barbicane
negative,written letters fire said nicholl
positive,wonderful fellows muttered ardan
neutral,understand last asked barbicane
negative,understand cried ardan head splitting said nicholl find speed projectile leaves atmosphere calculate captain practical man equal difficulties began write frightful rapidity
positive,divisions multiplications grew fingers figures like hail white page
positive,barbicane watched michel ardan nursed growing headache hands
neutral,well asked barbicane minutes silence
positive,well replied nicholl every calculation made v zero say speed necessary projectile leaving atmosphere enable reach equal point attraction ought yes said barbicane
negative,twelve thousand yards exclaimed barbicane starting say twelve thousand yards devil cried president making gesture despair
positive,matter asked michel ardan much surprised
positive,matter
neutral,moment speed already diminished one third friction initiatory speed ought seventeen thousand yards cambridge observatory declared twelve thousand yards enough starting projectile started speed well asked nicholl
positive,well enough good shall able reach neutral point deuce shall even get halfway name projectile exclaimed michel ardan jumping already point striking terrestrial globe
negative,could expected error calculation
neutral,barbicane would believe
neutral,nicholl revised figures exact
positive,formula determined could suspect truth evident initiatory velocity seventeen thousand yards first second necessary enable reach neutral point
neutral,three friends looked silently
neutral,thought breakfast
neutral,barbicane clenched teeth knitted brows hands clasped convulsively watching window
neutral,nicholl crossed arms examining calculations
positive,michel ardan muttering like scientific men never anything else
negative,would give twenty pistoles could fall upon cambridge observatory crush together whole lot dabblers figures contains suddenly thought struck captain communicated barbicane
negative,ah said seven clock morning already gone thirty two hours half passage falling aware barbicane answer rapid glance captain took pair compasses wherewith measure angular distance terrestrial globe lower window took exact observation noticed projectile apparently stationary
neutral,rising wiping forehead large drops perspiration standing put figures paper
neutral,nicholl understood president deducting terrestrial diameter projectile distance earth
negative,watched anxiously
negative,exclaimed barbicane moments falling
neutral,already 50 000 leagues earth
negative,passed point projectile would stopped speed 12 000 yards starting
negative,still going evident replied nicholl must conclude initial speed power 400 000 pounds gun cotton must exceeded required 12 000 yards
neutral,understand thirteen minutes met second satellite gravitates round earth 2 000 leagues distance explanation probable added barbicane throwing water enclosed partition breaks projectile found lightened considerable weight said nicholl
positive,ah brave nicholl saved well said michel ardan quietly safe let us breakfast nicholl mistaken
positive,initial speed fortunately much estimated cambridge observatory cambridge observatory nevertheless made mistake
negative,travelers recovered false alarm breakfasted merrily
positive,ate good deal talked
positive,confidence greater incident algebra succeed said michel ardan arrive safely
negative,launched obstacle us stones way road open ship battling sea open balloon battling wind ship reach destination balloon go pleases cannot projectile attain end aim attain said barbicane
positive,honor americans added michel ardan people could bring enterprise happy termination one could produce president barbicane
negative,ah longer uneasy begin think become us
negative,shall get right royally weary barbicane nicholl made gesture denial
