Label,StopwordRemovedSentence
negative,attempts useless
negative,case balloon collapsed
neutral,gas escaped without possibility retaining
neutral,descent visibly accelerated soon midday car hung within 600 feet ocean
negative,impossible prevent escape gas rushed large rent silk
neutral,lightening car articles contained passengers able prolong suspension air hours
negative,inevitable catastrophe could retarded land appear night voyagers car balloon must certainty vanish beneath waves
neutral,resorted remaining expedient
neutral,truly dauntless men knew look death face
neutral,single murmur escaped lips
negative,determined struggle last minute anything retard fall
negative,car sort willow basket unable float slightest possibility maintaining surface sea
neutral,two hours passed balloon scarcely 400 feet water
negative,moment loud voice voice man whose heart inaccessible fear heard
positive,voice responded others less determined
negative,everything thrown still 2 000 dollars gold heavy bag immediately plunged sea
negative,balloon rise little long falls still remains thrown nothing yes
neutral,car let us catch hold net sea car fact last mode lightening balloon
negative,ropes held car cut balloon fall mounted 2 000 feet
neutral,five voyagers hoisted net clung meshes gazing abyss
negative,delicate sensibility balloons well known
neutral,sufficient throw lightest article produce difference vertical position
positive,apparatus air like balance mathematical precision
positive,thus easily understood lightened considerable weight movement impetuous sudden
neutral,happened occasion
negative,suspended instant aloft balloon began redescend gas escaping rent impossible repair
neutral,men done men could
positive,human efforts could save
positive,must trust mercy rules elements
neutral,four clock balloon 500 feet surface water
neutral,loud barking heard
neutral,dog accompanied voyagers held pressed close master meshes net
negative,top seen something cried one men
neutral,immediately loud voice shouted land
neutral,land balloon wind still drove towards southwest since daybreak gone considerable distance might reckoned hundreds miles tolerably high land fact appeared direction
neutral,land still thirty miles
positive,would take less hour get chance falling leeward
neutral,hour
negative,might balloon emptied fluid yet retained
negative,terrible question
positive,voyagers could distinctly see solid spot must reach cost
negative,ignorant whether island continent know part world hurricane driven
positive,must reach land whether inhabited desolate whether hospitable
positive,evident balloon could longer support
positive,several times already crests enormous billows licked bottom net making still heavier balloon half rose like bird wounded wing
positive,half hour later land mile balloon exhausted flabby hanging great folds gas upper part alone
negative,voyagers clinging net still heavy soon half plunged sea beaten furious waves
positive,balloon case bulged wind taking drove along like vessel
positive,might possibly thus reach land
negative,two fathoms terrible cries resounded four pairs lungs
negative,balloon appeared would never rise suddenly made unexpected bound struck tremendous sea
positive,instant relieved new part weight mounted height 1 500 feet met current wind instead taking directly coast carried nearly parallel direction
positive,last two minutes later reproached obliquely finally fell sandy beach reach waves
neutral,voyagers aiding managed disengage meshes net
positive,balloon relieved weight taken wind like wounded bird revives instant disappeared space
neutral,car contained five passengers dog balloon left four shore
negative,missing person evidently swept sea struck net owing circumstance lightened balloon rose last time soon reached land
neutral,scarcely four castaways set foot firm ground thinking absent one simultaneously exclaimed perhaps try swim land
positive,let us save
neutral,hurricane thrown coast neither aeronauts profession amateurs
negative,prisoners war whose boldness induced escape extraordinary manner
neutral,hundred times almost perished
negative,hundred times almost fallen torn balloon depths ocean
negative,heaven reserved strange destiny 20th march escaped richmond besieged troops general ulysses grant found seven thousand miles capital virginia principal stronghold south terrible war secession
neutral,aerial voyage lasted five days
negative,curious circumstances led escape prisoners follows year month february 1865 one coups de main general grant attempted though vain possess richmond several officers fell power enemy detained town
neutral,one distinguished captain cyrus harding
negative,native massachusetts first class engineer government confided war direction railways important time
negative,true northerner thin bony lean forty five years age close cut hair beard kept thick mustache already getting gray
positive,one finely developed heads appear made struck medal piercing eyes serious mouth physiognomy clever man military school
positive,one engineers began handling hammer pickaxe like generals first act common soldiers
positive,besides mental power also possessed great manual dexterity
positive,muscles exhibited remarkable proofs tenacity
positive,man action well man thought without effort one vigorous sanguine temperament
positive,learned clear headed practical fulfilled emergencies three conditions united ought insure human success activity mind body impetuous wishes powerful
positive,might taken motto william orange 17th century undertake persevere even without hope success cyrus harding courage personified
negative,battles war
negative,begun volunteer illinois ulysses grant fought paducah belmont pittsburg landing siege corinth port gibson black river chattanooga wilderness potomac everywhere valiantly soldier worthy general said never count dead hundreds times captain harding almost among counted terrible grant combats never spared fortune favored till moment wounded taken prisoner field battle near richmond
positive,time day another important personage fell hands southerners
negative,gideon spilett reporter new york herald ordered follow changes war midst northern armies
positive,gideon spilett one race indomitable english american chroniclers like stanley others stop nothing obtain exact information transmit journal shortest possible time
neutral,newspapers union new york herald genuine powers reporters men reckoned
positive,gideon spilett ranked among first reporters man great merit energetic prompt ready anything full ideas traveled whole world soldier artist enthusiastic council resolute action caring neither trouble fatigue danger pursuit information first journal perfect treasury knowledge sorts curious subjects unpublished unknown impossible
negative,one intrepid observers write fire reporting among bullets every danger welcome
negative,also battles first rank revolver one hand note book grape shot never made pencil tremble
positive,fatigue wires incessant telegrams like speak nothing say notes short decisive clear threw light important point
positive,besides wanting humor
positive,affair black river determined cost keep place wicket telegraph office announced journal result battle telegraphed two hours first chapters bible
positive,cost new york herald two thousand dollars new york herald published first intelligence
neutral,gideon spilett tall
neutral,rather forty years age
neutral,light whiskers bordering red surrounded face
positive,eye steady lively rapid changes
neutral,eye man accustomed take glance details scene
positive,well built inured climates like bar steel hardened cold water
neutral,ten years gideon spilett reporter new york herald enriched letters drawings skilful use pencil pen
negative,captured act making description sketch battle
negative,last words note book southern rifleman taken aim southerner notwithstanding missed gideon spilett usual fortune came affair without scratch
neutral,cyrus harding gideon spilett know except reputation carried richmond
neutral,engineer wounds rapidly healed convalescence made acquaintance reporter
positive,two men learned appreciate
negative,soon common aim one object escaping rejoining grant army fighting together ranks federals
positive,two americans first determined seize every chance although allowed wander liberty town richmond strictly guarded escape appeared impossible
negative,meanwhile captain harding rejoined servant devoted life death
negative,intrepid fellow negro born engineer estate slave father mother cyrus abolitionist conviction heart long since given freedom
positive,slave though free would leave master
negative,would died
positive,man thirty vigorous active clever intelligent gentle calm sometimes naive always merry obliging honest
neutral,name nebuchadnezzar answered familiar abbreviation neb
negative,neb heard master made prisoner left massachusetts without hesitating instant arrived richmond dint stratagem shrewdness risked life twenty times managed penetrate besieged town
positive,pleasure harding seeing servant joy neb finding master scarcely described
negative,though neb able make way richmond quite another thing get northern prisoners strictly watched
positive,extraordinary opportunity needed make attempt chance success opportunity present difficult find
positive,meanwhile grant continued energetic operations
positive,victory petersburg dearly bought
negative,forces united butler yet unsuccessful richmond nothing gave prisoners hope speedy deliverance
positive,reporter tedious captivity offer single incident worthy note could stand longer
positive,usually active mind occupied one sole thought might get richmond cost
negative,several times even made attempt stopped insurmountable obstacle
negative,however siege continued prisoners anxious escape join grant army certain besieged less anxious join southern forces
positive,among one jonathan forster determined southerner
negative,truth prisoners secessionists could leave town neither could secessionists northern army invested
negative,governor richmond long time unable communicate general lee much wished make known situation town hasten march army relief
positive,thus jonathan forster accordingly conceived idea rising balloon pass besieging lines way reach secessionist camp
neutral,governor authorized attempt
neutral,balloon manufactured placed disposal forster accompanied five persons
neutral,furnished arms case might defend alighted provisions event aerial voyage prolonged
neutral,departure balloon fixed 18th march
positive,effected night northwest wind moderate force aeronauts calculated would reach general lee camp hours
neutral,northwest wind simple breeze
neutral,18th evident changing hurricane
negative,tempest soon became forster departure deferred impossible risk balloon carried midst furious elements
positive,balloon inflated great square richmond ready depart first abatement wind may supposed impatience among besieged see storm moderate great
neutral,18th 19th march passed without alteration weather
positive,even great difficulty keeping balloon fastened ground squalls dashed furiously
neutral,night 19th passed next morning storm blew redoubled force
neutral,departure balloon impossible
neutral,day engineer cyrus harding accosted one streets richmond person least know
positive,sailor named pencroft man thirty five forty years age strongly built sunburnt possessed pair bright sparkling eyes remarkably good physiognomy
positive,pencroft american north sailed ocean gone every possible almost impossible adventure two feet wings would encounter
positive,needless say bold dashing fellow ready dare anything astonished nothing
positive,pencroft beginning year gone richmond business young boy fifteen new jersey son former captain orphan loved child
positive,able leave town first operations siege found shut great disgust accustomed succumb difficulties resolved escape means
negative,knew engineer officer reputation knew impatience determined man chafed restraint
negative,day therefore hesitate accost saying without circumlocution enough richmond captain engineer looked fixedly man spoke added low voice captain harding try escape asked engineer quickly evident question uttered without consideration yet examined stranger addressed
positive,penetrating eye observed open face sailor convinced honest man
neutral,asked briefly
neutral,pencroft made known
negative,well replied harding way propose escape lazy balloon left nothing looks waiting purpose us necessity sailor finish sentence
neutral,engineer understood
negative,seized pencroft arm dragged house
neutral,sailor developed project indeed extremely simple
neutral,risked nothing lives execution
positive,hurricane violence true clever daring engineer cyrus harding knew perfectly well manage balloon
positive,well acquainted art sailing air navigation ship pencroft would hesitated set course taking young friend herbert accustomed brave fiercest tempests ocean hindered account hurricane
neutral,captain harding listened sailor without saying word eyes shone satisfaction
positive,long sought opportunity man let pass
negative,plan feasible though must confessed dangerous extreme
negative,night spite guards might approach balloon slip car cut cords held
positive,doubt might killed hand might succeed without storm without storm balloon would started already looked opportunity would presented
negative,alone said harding last
positive,many people wish bring asked sailor
positive,two friend spilett servant neb three replied pencroft herbert five
neutral,balloon hold six enough go answered harding firm voice
positive,included spilett reporter friend well knew man draw back project communicated approved unreservedly
positive,astonished simple idea occurred
neutral,neb followed master wherever master wished go
positive,evening said pencroft meet evening ten clock replied captain harding heaven grant storm abate departure pencroft took leave two friends returned lodging young herbert brown remained
negative,courageous boy knew sailor plan without anxiety awaited result proposal made engineer
positive,thus five determined persons abandon mercy tempestuous elements
neutral,
neutral,storm abate neither jonathan forster companions dreamed confronting frail car
negative,would terrible journey
negative,engineer feared one thing balloon held ground dashed wind would torn shreds
neutral,several hours roamed round nearly deserted square surveying apparatus
negative,pencroft side hands pockets yawning like man know kill time really dreading like friend either escape destruction balloon
neutral,evening arrived
neutral,night dark extreme
positive,thick mists passed like clouds close ground
neutral,rain fell mingled snow cold
neutral,mist hung richmond
negative,seemed violent storm produced truce besiegers besieged cannon silenced louder detonations storm
neutral,streets town deserted
negative,even appeared necessary horrible weather place guard square midst plunged balloon
negative,everything favored departure prisoners might possibly termination hazardous voyage contemplated midst furious elements dirty weather exclaimed pencroft fixing hat firmly head blow fist pshaw shall succeed half past nine harding companions glided different directions square gas lamps extinguished wind left total obscurity
negative,even enormous balloon almost beaten ground could seen
positive,independently sacks ballast cords net fastened car held strong cable passed ring pavement
negative,five prisoners met car
negative,perceived darkness could even see
negative,without speaking word harding spilett neb herbert took places car pencroft engineer order detached successively bags ballast
neutral,work minutes sailor rejoined companions
neutral,balloon held cable engineer nothing give word
neutral,moment dog sprang bound car
positive,top favorite engineer
negative,faithful creature broken chain followed master
negative,however fearing additional weight might impede ascent wished send away animal
negative,one make little difference poor beast exclaimed pencroft heaving two bags sand spoke letting go cable balloon ascending oblique direction disappeared dashed car two chimneys threw swept
negative,indeed full rage hurricane exhibited voyagers
neutral,night engineer could dream descending day broke even glimpse earth intercepted fog
negative,five days passed partial clearing allowed see wide extending ocean beneath feet lashed maddest fury gale
positive,readers recollect befell five daring individuals set hazardous expedition balloon 20th march
neutral,five days afterwards four thrown desert coast seven thousand miles country
negative,one number missing man guide leading spirit engineer captain harding
positive,instant recovered feet hurried beach hopes rendering assistance
neutral,engineer meshes net given way carried wave
negative,dog also disappeared
positive,faithful animal voluntarily leaped help master
negative,forward cried reporter four spilett herbert pencroft neb forgetting fatigue began search
negative,poor neb shed bitter tears giving way despair thought lost loved earth
negative,two minutes passed time cyrus harding disappeared moment companions set foot ground
positive,hopes therefore arriving time save
neutral,let us look
negative,let us look cried neb
positive,yes neb replied gideon spilett find living trust still living swim asked pencroft
positive,yes replied neb besides top sailor observing heavy surf shore shook head
negative,engineer disappeared north shore nearly half mile place castaways landed
positive,nearest point beach could reach thus fully distance
neutral,nearly six clock
neutral,thick fog made night dark
positive,castaways proceeded toward north land chance thrown unknown region geographical situation could even guess
neutral,walking upon sandy soil mingled stones appeared destitute sort vegetation
negative,ground unequal rough places perfectly riddled holes making walking extremely painful
positive,holes escaped every minute great birds clumsy flight flew directions
positive,others active rose flocks passed clouds heads
negative,sailor thought recognized gulls cormorants whose shrill cries rose roaring sea
negative,time time castaways stopped shouted listened response ocean thought engineer landed near place would heard barking dog top even harding unable give sign existence
negative,stopped listen sound arose roaring waves dashing surf
negative,little band continued march forward searching every hollow shore
neutral,walking twenty minutes four castaways suddenly brought standstill sight foaming billows close feet
positive,solid ground ended
negative,found extremity sharp point sea broke furiously
positive,promontory said sailor must retrace steps holding towards right shall thus gain mainland said neb pointing ocean whose waves shone snowy white darkness
neutral,well let us call uniting voices gave vigorous shout came reply
neutral,waited lull began still reply
neutral,castaways accordingly returned following opposite side promontory soil equally sandy rugged
negative,however pencroft observed shore equal ground rose declared joined long slope hill whose massive front thought could see looming indistinctly mist
negative,birds less numerous part shore sea also less tumultuous observed agitation waves diminished
neutral,noise surf scarcely heard
neutral,side promontory evidently formed semicircular bay sharp point sheltered breakers open sea
neutral,follow direction go south exactly opposite part coast harding might landed
neutral,walk mile half shore presented curve would permit return north
neutral,promontory turned point must attached mainland
positive,castaways although strength nearly exhausted still marched courageously forward hoping every moment meet sudden angle would set first direction
negative,disappointment trudging nearly two miles reached elevated point composed slippery rocks found stopped sea
neutral,islet said pencroft surveyed one extremity sailor right thrown continent even island islet two miles length even less breadth
positive,barren spot desolate refuge sea birds strewn stones destitute vegetation attached important archipelago
neutral,impossible say
neutral,voyagers car saw land mist able reconnoiter sufficiently
negative,however pencroft accustomed sailor eyes piece gloom almost certain could clearly distinguish west confused masses indicated elevated coast
neutral,could dark determine whether single island connected others
negative,could leave either sea surrounded must therefore put till next day search engineer alas
negative,single cry reached show still existence
positive,silence friend proves nothing said reporter
negative,perhaps fainted wounded unable reply directly despair reporter proposed light fire point islet would serve signal engineer
negative,searched vain wood dry brambles nothing sand stones found
positive,grief neb companions strongly attached intrepid harding better pictured described
negative,evident powerless help
neutral,must wait patience could daylight
positive,either engineer able save already found refuge point coast lost ever
negative,long painful hours passed
positive,cold intense
negative,castaways suffered cruelly scarcely perceived
neutral,even think taking minute rest
positive,forgetting everything chief hoping wishing hope continued walk sterile spot always returning northern point could approach nearest scene catastrophe
positive,listened called uniting voices endeavored raise even louder shout would transmitted great distance
negative,wind fallen almost calm noise sea began also subside
neutral,one neb shouts even appeared produce echo
positive,herbert directed pencroft attention adding proves coast west great distance sailor nodded besides eyes could deceive
positive,discovered land however indistinct might appear land sure
negative,distant echo response produced neb shouts heavy gloom hung part east island
neutral,meanwhile sky clearing little little
neutral,towards midnight stars shone engineer companions would remarked stars belong northern hemisphere
positive,polar star visible constellations accustomed see united states southern cross glittered brightly sky
neutral,night passed away
positive,towards five clock morning 25th march sky began lighten horizon still remained dark daybreak thick mist rose sea eye could scarcely penetrate beyond twenty feet stood
positive,length fog gradually unrolled great heavily moving waves
negative,unfortunate however castaways could distinguish nothing around
neutral,gaze reporter neb cast upon ocean sailor herbert looked eagerly coast west
neutral,speck land visible
positive,never mind said pencroft though see land feel sure fact longer richmond fog long rising
positive,fine weather mist
neutral,hot sun soon penetrated surface island
neutral,half past six three quarters hour sunrise mist became transparent
positive,grew thicker cleared away
neutral,soon isle appeared descended cloud sea showed around spreading far away towards east bounded west abrupt precipitous coast
positive,yes
neutral,land
positive,safety least provisionally insured
neutral,islet coast separated channel half mile breadth rushed extremely rapid current
neutral,however one castaways following impulse heart immediately threw current without consulting companions without saying single word
neutral,neb
neutral,haste side climb towards north
neutral,impossible hold back
neutral,pencroft called vain
neutral,reporter prepared follow pencroft stopped
positive,want cross channel asked
positive,yes replied spilett
positive,right said seaman wait bit neb well able carry help master
negative,venture channel risk carried open sea current running strong wrong ebbing
neutral,see tide going sand
negative,let us patience low water possible may find fordable passage right replied reporter separate help time neb struggling vigorously current
neutral,crossing oblique direction
neutral,black shoulders could seen emerging stroke
neutral,carried quickly also made way towards shore
positive,took half hour cross islet land reached shore several hundred feet place opposite point started
negative,landing foot high wall granite shook vigorously setting running soon disappeared behind rocky point projected nearly height northern extremity islet
positive,neb companions watched daring attempt painful anxiety sight fixed attention land hope safety lay eating shell fish sand strewn
positive,wretched repast still better nothing
neutral,opposite coast formed one vast bay terminating south sharp point destitute vegetation wild aspect
neutral,point abutted shore grotesque outline high granite rocks
neutral,towards north contrary bay widened rounded coast appeared trending southwest northeast terminating slender cape
neutral,distance two extremities made bow bay eight miles
positive,half mile shore rose islet somewhat resembled carcass gigantic whale
neutral,extreme breadth quarter mile
neutral,opposite islet beach consisted first sand covered black stones appearing little little retreating tide
positive,second level separated perpendicular granite cliff terminated top unequal edge height least 300 feet
positive,continued thus length three miles ending suddenly right precipice looked cut hand man
neutral,left promontory irregular jagged cliff descended long slope conglomerated rocks till mingled ground southern point
neutral,upper plateau coast tree appeared
positive,flat tableland like cape town cape good hope reduced proportions least appeared seen islet
neutral,however verdure wanting right beyond precipice
positive,could easily distinguish confused mass great trees extended beyond limits view
positive,verdure relieved eye long wearied continued ranges granite
neutral,lastly beyond plateau northwesterly direction distance least seven miles glittered white summit reflected sun rays
neutral,lofty mountain capped snow
neutral,question could present decided whether land formed island whether belonged continent
neutral,beholding convulsed masses heaped left geologist would hesitated give volcanic origin unquestionably work subterranean convulsions
negative,gideon spilett pencroft herbert attentively examined land might perhaps live many long years indeed might even die usual track vessels likely case
positive,well asked herbert say pencroft good bad everything replied sailor
neutral,shall see
neutral,ebb evidently making
negative,three hours attempt passage side try get scrape hope may find captain pencroft wrong anticipations
positive,three hours later low tide greater part sand forming bed channel uncovered
positive,islet coast remained narrow channel would doubt easy cross
neutral,ten clock gideon spilett companions stripped clothes placed bundles heads ventured water five feet deep
positive,herbert deep swam like fish got capitally
neutral,three arrived without difficulty opposite shore
neutral,quickly drying sun put clothes preserved contact water sat take counsel together next
negative,anxiety hastened steps longed obtain news friend soon disappeared round angle cliff
neutral,herbert wished accompany
positive,stop boy said sailor prepare encampment try find rather better grub shell fish
positive,friends want something come back
positive,work everybody ready replied herbert
neutral,right said sailor
neutral,must set regularly
negative,tired cold hungry therefore must shelter fire food
positive,wood forest eggs nests find house well returned herbert look cave among rocks shall sure discover hole creep right said pencroft go boy walked foot enormous wall beach far tide retreated instead going towards north went southward
negative,pencroft remarked several hundred feet place landed narrow cutting thought river stream might issue
positive,one hand important settle neighborhood good stream water possible current thrown cyrus harding shore
positive,cliff said rose height three hundred feet mass unbroken throughout even base scarcely washed sea offer smallest fissure would serve dwelling
negative,perpendicular wall hard granite even waves worn away
positive,towards summit fluttered myriads sea fowl especially web footed species long flat pointed beaks clamorous tribe bold presence man probably first time thus invaded domains
positive,pencroft recognized skua gulls among voracious little sea mew great numbers nestled crevices granite
negative,shot fired among swarm would killed great number fire shot gun needed neither pencroft herbert one besides gulls sea mews scarcely eatable even eggs detestable taste
neutral,however herbert gone forward little left soon came upon rocks covered sea weed hours later would hidden high tide
negative,rocks midst slippery wrack abounded bivalve shell fish despised starving people
neutral,herbert called pencroft ran hastily
positive,mussels cried sailor instead eggs mussels replied herbert attentively examining molluscs attached rocks lithodomes good eat asked pencroft
positive,perfectly let us eat lithodomes sailor could rely upon herbert young boy well natural history always quite passion science
positive,father encouraged letting attend lectures best professors boston fond intelligent industrious lad
positive,turn natural history course time great use mistaken instance
negative,lithodomes oblong shells suspended clusters adhering tightly rocks
neutral,belong species molluscous perforators excavate holes hardest stone shell rounded ends feature remarked common mussel
positive,pencroft herbert made good meal lithodomes half opened sun
positive,ate oysters strong peppery taste palatable without condiments sort
positive,hunger thus appeased time thirst increased eating naturally spiced molluscs
positive,find fresh water likely would wanting capriciously uneven region
neutral,pencroft herbert taken precaution collecting ample supply lithodomes filled pockets handkerchiefs regained foot cliff
negative,two hundred paces farther arrived cutting pencroft guessed ran stream water whether fresh ascertained
negative,place wall appeared separated violent subterranean force
neutral,base hollowed little creek farthest part formed tolerably sharp angle
neutral,watercourse part measured one hundred feet breadth two banks side scarcely twenty feet high
positive,river became strong almost directly two walls granite began sink mouth suddenly turned disappeared beneath wood stunted trees half mile
neutral,water yonder wood require said pencroft
positive,well herbert want house water river limpid
positive,sailor ascertained time say low tide rising floods reach sweet
positive,important point established herbert looked cavity would serve retreat vain everywhere wall appeared smooth plain perpendicular
positive,however mouth watercourse reach high tide convulsions nature formed grotto pile enormous rocks often met granite countries bear name chimneys pencroft herbert penetrated quite far among rocks sandy passages light wanting entered openings left blocks sustained miracle equilibrium light came also air regular corridor gale wind sharp cold exterior
negative,however sailor thought stopping openings mixture stones sand chimneys could rendered habitable
positive,geometrical plan represented typographical sign signifies et cetera abridged isolating upper mouth sign south west winds blew strongly could succeed making lower part use
negative,work said pencroft ever see captain harding know make something labyrinth shall see pencroft cried herbert returns must find tolerable dwelling
neutral,make fireplace left passage keep opening smoke boy replied sailor chimneys serve turn
neutral,let us set work first come get store fuel
positive,think branches useful stopping openings wind shrieks like many fiends herbert pencroft left chimneys turning angle began climb left bank river
negative,current quite rapid drifted dead wood
neutral,rising tide could already perceived must drive back force considerable distance
neutral,sailor thought could utilize ebb flow transport heavy objects
neutral,walked quarter hour sailor boy arrived angle river made turning towards left
positive,point course pursued forest magnificent trees
positive,trees still retained verdure notwithstanding advanced season belonged family coniferae spread regions globe northern climates tropics
positive,young naturalist recognized especially deedara numerous himalayan zone spread around agreeable odor
positive,beautiful trees sprang clusters firs whose opaque open parasol boughs spread wide around
positive,among long grass pencroft felt feet crushing dry branches crackled like fireworks
positive,well boy said herbert know name trees rate reckon may call burning wood chief thing want let us get supply replied herbert immediately set work
positive,collection easily made
negative,even necessary lop trees enormous quantities dead wood lying feet fuel wanting means transporting yet found
neutral,wood dry would burn rapidly therefore necessary carry chimneys considerable quantity loads two men would sufficient
neutral,herbert remarked
neutral,well boy replied sailor must way carrying wood always way everything
positive,cart boat would easy enough river said herbert
positive,right replied pencroft river us like road carries rafts invented nothing observed herbert moment road going wrong way tide rising shall right wait till ebbs replied sailor trust carry fuel chimneys
positive,let us get raft ready sailor followed herbert directed steps towards river
positive,carried proportion strength load wood bound fagots
negative,found bank also great quantity dead branches midst grass among foot man probably never trod
neutral,pencroft began directly make raft
positive,kind little bay created point shore broke current sailor lad placed good sized pieces wood fastened together dry creepers
neutral,raft thus formed stacked collected sufficient indeed loaded least twenty men
negative,hour work finished raft moored bank awaited turning tide
positive,still several hours occupied one consent pencroft herbert resolved gain upper plateau extended view surrounding country
negative,exactly two hundred feet behind angle formed river wall terminated fall rocks died away gentle slope edge forest
positive,natural staircase
positive,herbert sailor began ascent thanks vigor muscles reached summit minutes proceeded point mouth river
negative,attaining first look cast upon ocean long traversed terrible condition
negative,observed emotion part north coast catastrophe taken place
negative,cyrus harding disappeared
neutral,looked see portion balloon man might possibly cling yet existed
neutral,nothing
neutral,sea one vast watery desert
neutral,coast solitary also
neutral,neither reporter neb could anywhere seen
neutral,possible time far away perceived
negative,something tells cried herbert man energetic captain harding would let drowned like people
negative,must reached point shore think pencroft sailor shook head sadly
positive,little expected ever see cyrus harding wishing leave hope herbert doubtless doubtless said engineer man would get scrape one else would yield meantime examined coast great attention
neutral,stretched sandy shore bounded right river mouth lines breakers
positive,rocks visible appeared like amphibious monsters reposing surf
neutral,beyond reef sea sparkled beneath sun rays
neutral,south sharp point closed horizon could seen land prolonged direction ran southeast southwest would made coast long peninsula
positive,northern extremity bay outline shore continued great distance wider curve
positive,shore low flat without cliffs great banks sand tide left uncovered
neutral,pencroft herbert returned towards west
negative,attention first arrested snow topped mountain rose distance six seven miles
positive,first declivities within two miles coast spread vast masses wood relieved large green patches caused presence evergreen trees
neutral,edge forest shore extended plain scattered irregularly groups trees
neutral,left sparkled glades waters little river could trace winding course back towards spurs mountain among seemed spring
positive,point sailor left raft wood began run two high granite walls left bank wall remained clear abrupt right bank contrary sank gradually massive sides changed isolated rocks rocks stones stones shingle running extremity point
neutral,island murmured sailor
neutral,rate seems big enough replied lad
neutral,island ever big island said pencroft
positive,important question could yet answered
positive,perfect survey made settle point
positive,land island continent appeared fertile agreeable aspect varied productions
positive,satisfactory observed pencroft misfortune must thank providence god praised responded herbert whose pious heart full gratitude author things
negative,pencroft herbert examined time country cast difficult guess hasty inspection future store
positive,returned following southern crest granite platform bordered long fringe jagged rocks whimsical shapes
negative,hundreds birds lived nestled holes stone herbert jumping rocks startled whole flock winged creatures
negative,oh cried gulls sea mews asked pencroft
neutral,upon word one would say pigeons wild rock pigeons
neutral,recognize double band black wing white tail slate colored plumage
positive,rock pigeon good eat eggs must excellent soon see many may left nests give time hatch unless shape omelet replied pencroft merrily
positive,make omelet asked herbert hat well replied sailor quite conjuror enough must come eggs shell boy undertake despatch hardest pencroft herbert attentively examined cavities granite really found eggs hollows
neutral,dozen collected packed sailor handkerchief time tide would full approaching pencroft herbert began redescend towards watercourse
neutral,arrived hour midday
neutral,tide already turned
neutral,must avail ebb take wood mouth
