Label,StopwordRemovedSentence
neutral,morrow conversation every member association received sealed circular couched following terms baltimore october 3
positive,president gun club honor inform colleagues meeting 5th instant bring communication extremely interesting nature
neutral,requests therefore make convenient attend accordance present invitation
neutral,cordially impey barbicane p g c
neutral,21 union square
neutral,members association resident baltimore attended invitation president
positive,regards corresponding members notices delivered hundreds throughout streets city large great hall quite inadequate accommodate crowd savants
neutral,overflowed adjoining rooms narrow passages outer courtyards
positive,ran vulgar herd pressed doors struggling reach front ranks eager learn nature important communication president barbicane pushing squeezing crushing perfect freedom action peculiar masses educated ideas self government evening stranger might chanced baltimore could gained admission love money great hall
positive,reserved exclusively resident corresponding members one else could possibly obtained place city magnates municipal councilors select men compelled mingle mere townspeople order catch stray bits news interior
positive,nevertheless vast hall presented curious spectacle
neutral,immense area singularly adapted purpose
positive,lofty pillars formed cannon superposed upon huge mortars base supported fine ironwork arches perfect piece cast iron lacework
neutral,trophies blunderbuses matchlocks arquebuses carbines kinds firearms ancient modern picturesquely interlaced walls
positive,gas lit full glare myriads revolvers grouped form lustres groups pistols candelabra formed muskets bound together completed magnificent display brilliance
positive,models cannon bronze castings sights covered dents plates battered shots gun club assortments rammers sponges chaplets shells wreaths projectiles garlands howitzers short apparatus artillerist enchanted eye wonderful arrangement induced kind belief real purpose ornamental rather deadly
neutral,end saloon president assisted four secretaries occupied large platform
positive,chair supported carved gun carriage modeled upon ponderous proportions 32 inch mortar
positive,pointed angle ninety degrees suspended upon truncheons president could balance upon upon rocking chair agreeable fact hot weather
positive,upon table huge iron plate supported upon six carronades stood inkstand exquisite elegance made beautifully chased spanish piece sonnette required could give forth report equal revolver
negative,violent debates novel kind bell scarcely sufficed drown clamor excitable artillerists
positive,front table benches arranged zigzag form like circumvallations retrenchment formed succession bastions curtains set apart use members club especial evening one might say world ramparts president sufficiently well known however assured would put colleagues discomfort without strong motive
positive,impey barbicane man forty years age calm cold austere singularly serious self contained demeanor punctual chronometer imperturbable temper immovable character means chivalrous yet adventurous withal always bringing practical ideas bear upon rashest enterprises essentially new englander northern colonist descendant old anti stuart roundheads implacable enemy gentlemen south ancient cavaliers mother country
neutral,word yankee backbone
positive,barbicane made large fortune timber merchant
neutral,nominated director artillery war proved fertile invention
positive,bold conceptions contributed powerfully progress arm gave immense impetus experimental researches
negative,personage middle height rare exception gun club limbs complete
positive,strongly marked features seemed drawn square rule true order judge man character one must look profile barbicane examined exhibited certain indications energy audacity sang froid
negative,moment sitting armchair silent absorbed lost reflection sheltered high crowned hat kind black cylinder always seems firmly screwed upon head american
positive,deep toned clock great hall struck eight barbicane set motion spring raised
positive,profound silence ensued speaker somewhat emphatic tone voice commenced follows brave colleagues long already paralyzing peace plunged members gun club deplorable inactivity
positive,period years full incidents compelled abandon labors stop short road progress
negative,hesitate state baldly war would recall us arms would welcome tremendous applause war gentlemen impossible existing circumstances however may desire many years may elapse cannon shall thunder field battle
neutral,must make minds seek another train ideas field activity pine meeting felt president approaching critical point redoubled attention accordingly
positive,months past brave colleagues continued barbicane asking whether confining particular objects could enter upon grand experiment worthy nineteenth century whether progress artillery science would enable us carry successful issue
positive,considering working calculating result studies conviction safe succeed enterprise country would appear wholly impracticable
neutral,project result long elaboration object present communication
positive,worthy worthy antecedents gun club cannot fail make noise world thrill excitement ran meeting
positive,barbicane rapid movement firmly fixed hat upon head calmly continued harangue one among brave colleagues seen moon least heard speak
positive,surprised discourse regarding queen night
neutral,perhaps reserved us become columbuses unknown world
positive,enter plans second power lead conquest name shall added thirty six states compose great union three cheers moon roared gun club one voice
positive,moon gentlemen carefully studied continued barbicane mass density weight constitution motions distance well place solar system exactly determined
positive,selenographic charts constructed perfection equals even surpass terrestrial maps
positive,photography given us proofs incomparable beauty satellite known regarding moon mathematical science astronomy geology optics learn
negative,present moment direct communication established violent movement interest surprise greeted remark speaker
positive,permit continued recount briefly certain ardent spirits starting imaginary journeys penetrated secrets satellite
positive,seventeenth century certain david fabricius boasted seen eyes inhabitants moon
neutral,1649 frenchman one jean baudoin published journey performed earth moon domingo gonzalez spanish adventurer
positive,period cyrano de bergerac published celebrated journeys moon met success france
neutral,somewhat later another frenchman named fontenelle wrote plurality worlds chef uvre time
positive,1835 small treatise translated new york american related sir john herschel despatched cape good hope purpose making astronomical calculations means telescope brought perfection means internal lighting reduced apparent distance moon eighty yards
positive,distinctly perceived caverns frequented hippopotami green mountains bordered golden lace work sheep horns ivory white species deer inhabitants membranous wings like bats
positive,brochure work american named locke great sale
positive,bring rapid sketch close add certain hans pfaal rotterdam launching balloon filled gas extracted nitrogen thirty seven times lighter hydrogen reached moon passage nineteen hours
positive,journey like previous ones purely imaginary still work popular american author mean edgar poe cheers edgar poe roared assemblage electrified president words
negative,enumerated said barbicane experiments call purely paper ones wholly insufficient establish serious relations queen night
neutral,nevertheless bound add practical geniuses attempted establish actual communication
neutral,thus days ago german geometrician proposed send scientific expedition steppes siberia
negative,vast plains describe enormous geometric figures drawn characters reflecting luminosity among proposition regarding square hypothenuse commonly called ass bridge french
positive,every intelligent said geometrician must understand scientific meaning figure
positive,selenites exist respond similar figure communication thus established easy form alphabet shall enable us converse inhabitants moon spoke german geometrician project never put practice present day bond existence earth satellite
neutral,reserved practical genius americans establish communication sidereal world
positive,means arriving thither simple easy certain infallible purpose present proposal storm acclamations greeted words
neutral,single person whole audience overcome carried away lifted speaker words
positive,long continued applause resounded sides
positive,soon excitement partially subsided barbicane resumed speech somewhat graver voice
positive,know said progress artillery science made last years degree perfection firearms every kind reached
positive,moreover well aware general terms resisting power cannon expansive force gunpowder practically unlimited
neutral,well
positive,starting principle ask whether supposing sufficient apparatus could obtained constructed upon conditions ascertained resistance might possible project shot moon words murmur amazement escaped thousand panting chests succeeded moment perfect silence resembling profound stillness precedes bursting thunderstorm
negative,point fact thunderstorm peal forth thunder applause cries uproar made hall tremble
neutral,president attempted speak could
neutral,fully ten minutes could make heard
negative,suffer finish calmly continued
neutral,looked question bearings resolutely attacked incontrovertible calculations find projectile endowed initial velocity 12 000 yards per second aimed moon must necessarily reach
negative,scene indescribable confusion uproar
neutral,shouted clapped stamped floor hall
negative,weapons museum discharged could violently set motion waves sound
positive,one need surprised
negative,cannoneers nearly noisy guns
positive,barbicane remained calm midst enthusiastic clamor perhaps desirous addressing words colleagues gestures demanded silence powerful alarum worn violent reports
neutral,attention however paid request
positive,presently torn seat passed hands faithful colleagues arms less excited crowd
positive,nothing astound american
neutral,often asserted word impossible french one
negative,people evidently deceived dictionary
positive,america easy simple mechanical difficulties overcome arise
positive,barbicane proposition realization true yankee would allowed even semblance difficulty possible
neutral,thing sooner said done
positive,triumphal progress president continued throughout evening
neutral,regular torchlight procession
positive,irish germans french scotch heterogeneous units make population maryland shouted respective vernaculars vivas hurrahs bravos intermingled inexpressible enthusiasm
positive,crisis though comprehended agitation regarding moon shone forth serene splendor eclipsing intense illumination surrounding lights
positive,yankees turned gaze toward resplendent orb kissed hands called kinds endearing names
neutral,eight clock midnight one optician jones fall street made fortune sale opera glasses
neutral,midnight arrived enthusiasm showed signs diminution
neutral,spread equally among classes citizens men science shopkeepers merchants porters chair men well greenhorns stirred innermost fibres
neutral,national enterprise stake
positive,whole city high low quays bordering patapsco ships lying basins disgorged crowd drunk joy gin whisky
negative,every one chattered argued discussed disputed applauded gentleman lounging upon barroom settee tumbler sherry cobbler waterman got drunk upon knock dingy taverns fell point
positive,two however excitement began subside
negative,president barbicane reached house bruised crushed squeezed almost mummy
positive,hercules could resisted similar outbreak enthusiasm
neutral,crowd gradually deserted squares streets
positive,four railways philadelphia washington harrisburg wheeling converge baltimore whirled away heterogeneous population four corners united states city subsided comparative tranquility
positive,following day thanks telegraphic wires five hundred newspapers journals daily weekly monthly bi monthly took question
neutral,examined different aspects physical meteorological economical moral bearings politics civilization
neutral,debated whether moon finished world whether destined undergo transformation
neutral,resemble earth period latter destitute yet atmosphere
positive,kind spectacle would hidden hemisphere present terrestrial spheroid
positive,granting question present simply sending projectile moon every one must see involved commencement series experiments
neutral,must hope day america would penetrate deepest secrets mysterious orb even seemed fear lest conquest sensibly derange equilibrium europe
negative,project discussion single paragraph suggested doubt realization
positive,papers pamphlets reports journals published scientific literary religious societies enlarged upon advantages society natural history boston society science art albany geographical statistical society new york philosophical society philadelphia smithsonian washington sent innumerable letters congratulation gun club together offers immediate assistance money
positive,day forward impey barbicane became one greatest citizens united states kind washington science
positive,single trait feeling taken many others serve show point homage whole people single individual attained
negative,days memorable meeting gun club manager english company announced baltimore theatre production much ado nothing populace seeing title allusion damaging barbicane project broke auditorium smashed benches compelled unlucky director alter playbill
positive,sensible man bowed public replaced offending comedy like many weeks realized fabulous profits
positive,first care reassemble colleagues board room gun club
positive,discussion agreed consult astronomers regarding astronomical part enterprise
positive,reply ascertained could discuss mechanical means nothing wanting ensure success great experiment
positive,note couched precise terms containing special interrogatories drawn addressed observatory cambridge massachusetts
positive,city first university united states founded justly celebrated astronomical staff
neutral,found assembled eminent men science
positive,seen work powerful telescope enabled bond resolve nebula andromeda clarke discover satellite sirius
positive,celebrated institution fully justified points confidence reposed gun club
negative,two days reply impatiently awaited placed hands president barbicane
negative,couched following terms director cambridge observatory president gun club baltimore cambridge october 7
positive,receipt favor 6th instant addressed observatory cambridge name members baltimore gun club staff immediately called together judged expedient reply follows questions proposed 1
neutral,possible transmit projectile moon
neutral,2
neutral,exact distance separates earth satellite
neutral,3
neutral,period transit projectile endowed sufficient initial velocity
neutral,consequently moment ought discharged order may touch moon particular point
neutral,4
positive,precise moment moon present favorable position reached projectile
neutral,5
neutral,point heavens ought cannon aimed intended discharge projectile
neutral,6
positive,place moon occupy heavens moment projectile departure regarding first question possible transmit projectile moon answer yes provided possess initial velocity 1 200 yards per second calculations prove sufficient
positive,proportion recede earth action gravitation diminishes inverse ratio square distance say three times given distance action nine times less consequently weight shot decrease become reduced zero instant attraction moon exactly counterpoises earth say 47 52 passage
positive,instant projectile weight whatever passes point fall moon sole effect lunar attraction
positive,theoretical possibility experiment therefore absolutely demonstrated success must depend upon power engine employed
positive,second question exact distance separates earth satellite answer moon describe circle round earth rather ellipse earth occupies one foci consequence therefore certain times approaches nearer others recedes farther earth astronomical language one time apogee another perigee
positive,difference greatest least distance considerable left consideration
neutral,point fact apogee moon 247 552 miles perigee 218 657 miles distant fact makes difference 28 895 miles one ninth entire distance
neutral,perigee distance therefore ought serve basis calculations
negative,third question answer shot preserve continuously initial velocity 12 000 yards per second would require little nine hours reach destination inasmuch initial velocity continually decreasing occupy 300 000 seconds 83hrs
neutral,20m
positive,reaching point attraction earth moon equilibrio
neutral,point fall moon 50 000 seconds 13hrs
neutral,53m
neutral,20sec
positive,desirable therefore discharge 97hrs
neutral,13m
neutral,20sec
neutral,arrival moon point aimed
positive,regarding question four precise moment moon present favorable position etc
neutral,answer said necessary first choose period moon perigee also moment crossing zenith latter event diminish entire distance length equal radius earth
positive,e 3 919 miles result final passage remaining accomplished 214 976 miles
positive,although moon passes perigee every month reach zenith always exactly moment
neutral,appear two conditions simultaneously except long intervals time
neutral,necessary therefore wait moment passage perigee shall coincide zenith
positive,fortunate circumstance 4th december ensuing year moon present two conditions
neutral,midnight perigee shortest distance earth moment crossing zenith
positive,fifth question point heavens ought cannon aimed answer preceding remarks admitted cannon ought pointed zenith place
neutral,fire therefore perpendicular plane horizon projectile soonest pass beyond range terrestrial attraction
positive,order moon reach zenith given place necessary place exceed latitude declination luminary words must comprised within degrees 0 28 lat
positive,n every spot fire must necessarily oblique would seriously militate success experiment
positive,sixth question place moon occupy heavens moment projectile departure answer moment projectile shall discharged space moon travels daily forward 13 10 35 distant zenith point four times quantity
neutral,e 52 41 20 space corresponds path describe entire journey projectile
negative,inasmuch equally necessary take account deviation rotary motion earth impart shot shot cannot reach moon deviation equal 16 radii earth calculated upon moon orbit equal eleven degrees becomes necessary add eleven degrees express retardation moon mentioned say round numbers sixty four degrees
negative,consequently moment firing visual radius applied moon describe vertical line place angle sixty four degrees
negative,answers questions proposed observatory cambridge members gun club sum 1st
neutral,cannon ought planted country situated 0 28 n lat
neutral,2nd
neutral,ought pointed directly toward zenith place
neutral,3rd
neutral,projectile ought propelled initial velocity 12 000 yards per second
neutral,4th
neutral,ought discharged 10hrs
neutral,46m
neutral,40sec
neutral,1st december ensuing year
neutral,5th
neutral,meet moon four days discharge precisely midnight 4th december moment transit across zenith
negative,members gun club ought therefore without delay commence works necessary experiment prepared set work moment determined upon suffer 4th december go find moon conditions perigee zenith eighteen years eleven days afterward
positive,staff cambridge observatory place entirely disposal respect questions theoretical astronomy herewith add congratulations rest america
positive,little little ages went change took place general law attraction manifested hitherto errant atoms became obedient atoms combined together chemically according affinities formed molecules composed nebulous masses depths heavens strewed
neutral,masses became immediately endued rotary motion around central point
neutral,center formed indefinite molecules began revolve around axis gradual condensation following immutable laws mechanics proportion bulk diminished condensation rotary motion became accelerated two effects continuing result formation one principal star center nebulous mass
neutral,attentively watching observer would perceived molecules mass following example central star become likewise condensed gradually accelerated rotation gravitating round shape innumerable stars
neutral,thus formed nebul astronomers reckoned nearly 5 000
neutral,among 5 000 nebul one received name milky way contains eighteen millions stars become center solar world
positive,observer specially directed attention one humble less brilliant stellar bodies star fourth class arrogantly called sun phenomena formation universe ascribed would successively fulfilled eyes
positive,fact would perceived sun yet gaseous state composed moving molecules revolving round axis order accomplish work concentration
positive,motion faithful laws mechanics would accelerated diminution volume moment would arrived centrifugal force would overpowered centripetal causes molecules tend toward center
positive,another phenomenon would passed observer eye molecules situated plane equator escaping like stone sling cord suddenly snapped would formed around sun sundry concentric rings resembling saturn
negative,turn rings cosmical matter excited rotary motion central mass would broken decomposed secondary nebulosities say planets
neutral,similarly would observed planets throw one rings became origin secondary bodies call satellites
positive,thus advancing atom molecule molecule nebulous mass principal star star sun sun planet hence satellite whole series transformations undergone heavenly bodies first days world
positive,attendant bodies sun maintains elliptical orbits great law gravitation turn possess satellites
neutral,uranus eight saturn eight jupiter four neptune possibly three earth one
positive,last one least important entire solar system call moon daring genius americans professed intention conquering
positive,moon comparative proximity constantly varying appearances produced several phases always occupied considerable share attention inhabitants earth
positive,time thales miletus fifth century b c copernicus fifteenth tycho brah sixteenth century observations time time carried less correctness present day altitudes lunar mountains determined exactitude
positive,galileo explained phenomena lunar light produced certain phases existence mountains assigned mean altitude 27 000 feet
neutral,h velius astronomer dantzic reduced highest elevations 15 000 feet calculations riccioli brought 21 000 feet
positive,close eighteenth century herschel armed powerful telescope considerably reduced preceding measurements
neutral,assigned height 11 400 feet maximum elevations reduced mean different altitudes little 2 400 feet
positive,herschel calculations turn corrected observations halley nasmyth bianchini gruithuysen others reserved labors boeer maedler finally solve question
positive,succeeded measuring 1 905 different elevations six exceed 15 000 feet twenty two exceed 14 400 feet
neutral,highest summit towers height 22 606 feet surface lunar disc
neutral,period examination moon completed
neutral,appeared completely riddled craters essentially volcanic character apparent observation
neutral,absence refraction rays planets occulted conclude absolutely devoid atmosphere
neutral,absence air entails absence water
positive,became therefore manifest selenites support life conditions must possess special organization must differ remarkably inhabitants earth
positive,length thanks modern art instruments still higher perfection searched moon without intermission leaving single point surface unexplored notwithstanding diameter measures 2 150 miles surface equals one fifteenth part globe bulk one forty ninth part terrestrial spheroid one secrets able escape eyes astronomers skillful men science carried even greater degree prodigious observations
positive,thus remarked full moon disc appeared scored certain parts white lines phases black
positive,prosecuting study still greater precision succeeded obtaining exact account nature lines
neutral,long narrow furrows sunk parallel ridges bordering generally upon edges craters
neutral,length varied ten 100 miles width 1 600 yards
neutral,astronomers called chasms could get
negative,whether chasms dried beds ancient rivers unable thoroughly ascertain
neutral,americans among others hoped one day determine geological question
positive,also undertook examine true nature system parallel ramparts discovered moon surface gruithuysen learned professor munich considered system fortifications thrown selenitic engineers two points yet obscure well others doubt could definitely settled except direct communication moon
neutral,regarding degree intensity light nothing learn point
neutral,known 300 000 times weaker sun heat appreciable effect upon thermometer
neutral,phenomenon known ashy light explained naturally effect transmission solar rays earth moon give appearance completeness lunar disc presents crescent form first last phases
positive,state knowledge acquired regarding earth satellite gun club undertook perfect aspects cosmographic geological political moral
neutral,everybody set work study assiduously
positive,one would thought moon appeared first time one ever caught glimpse heavens
negative,papers revived old anecdotes sun wolves played part recalled influences ignorance past ages ascribed short america seized selenomania become moon mad
negative,scientific journals part dealt especially questions touched upon enterprise gun club
positive,letter observatory cambridge published commented upon unreserved approval
negative,time people ignorant mode distance separates moon earth calculated
positive,took advantage fact explain distance obtained measuring parallax moon
positive,term parallax proving caviare general explained meant angle formed inclination two straight lines drawn either extremity earth radius moon
negative,doubts expressed correctness method immediately proved mean distance 234 347 miles astronomers could possibly error estimate seventy miles either way
neutral,familiar motions moon demonstrated possesses two distinct motions first rotation upon axis second revolution round earth accomplishing together equal period time say twenty seven one third days
positive,motion rotation produces day night surface moon save one day one night lunar month lasting three hundred fifty four one third hours
positive,happily face turned toward terrestrial globe illuminated intensity equal fourteen moons
negative,face always invisible us necessity three hundred fifty four hours absolute night tempered pale glimmer falls upon stars well intentioned rather obstinate persons could first comprehend moon displays invariably face earth revolution describe one turn round
positive,answered go dining room walk round table way always keep face turned toward center time achieved one complete round completed one turn around since eye traversed successively every point room
positive,well room heavens table earth moon would go away delighted
positive,moon displays invariably face earth nevertheless quite exact necessary add consequence certain fluctuations north south west east termed libration permits rather half say five sevenths seen
negative,soon ignoramuses came understand much director observatory knew began worry regarding revolution round earth whereupon twenty scientific reviews immediately came rescue
positive,pointed firmament infinitude stars may considered one vast dial plate upon moon travels indicating true time inhabitants earth movement queen night exhibits different phases moon full opposition sun three bodies straight line earth occupying center new conjunction sun earth lastly first last quarter makes sun earth angle occupies apex
positive,regarding altitude moon attains horizon letter cambridge observatory said said respect
neutral,every one knew altitude varies according latitude observer
neutral,zones globe moon passes zenith point directly head spectator necessity comprised twenty eighth parallels equator
positive,hence importance advice try experiment upon point part globe order projectile might discharged perpendicularly soonest escape action gravitation
positive,essential condition success enterprise continued actively engage public attention
positive,regarding path described moon revolution round earth cambridge observatory demonstrated path entering curve perfect circle ellipse earth occupies one foci
positive,also well understood farthest removed earth apogee approaches nearly perigee
negative,extent knowledge possessed every american subject one could decently profess ignorance
negative,still principles rapidly disseminated many errors illusory fears proved less easy eradicate
positive,instance worthy persons maintained moon ancient comet describing elongated orbit round sun happened pass near earth became confined within circle attraction
negative,drawing room astronomers professed explain charred aspect moon disaster attributed intensity solar heat reminded comets atmosphere moon little none fairly loss reply
positive,others belonging doubting class expressed certain fears position moon
positive,heard said according observations made time caliphs revolution become accelerated certain degree
negative,hence concluded logically enough acceleration motion ought accompanied corresponding diminution distance separating two bodies supposing double effect continued infinity moon would end one day falling earth
positive,however became reassured fate future generations apprised according calculations laplace acceleration motion confined within restricted limits proportional diminution speed certain succeed
neutral,stability solar system would deranged ages come
neutral,remains third class superstitious
negative,worthies content merely rest ignorance must know things existence whatever moon long known
neutral,one set regarded disc polished mirror means people could see different points earth interchange thoughts
positive,another set pretended one thousand new moons observed nine hundred fifty attended remarkable disturbances cataclysms revolutions earthquakes deluge etc
positive,believed mysterious influence exercised human destinies every selenite attached inhabitant earth tie sympathy maintained entire vital system subject control etc
positive,time majority renounced vulgar errors espoused true side question
positive,yankees ambition take possession new continent sky plant upon summit highest elevation star spangled banner united states america
neutral,mechanical part still remained
negative,president barbicane without loss time nominated working committee gun club
positive,duty committee resolve three grand questions cannon projectile powder
positive,composed four members great technical knowledge barbicane casting vote case equality general morgan major elphinstone j maston confided functions secretary
neutral,8th october committee met house president barbicane 3 republican street
neutral,meeting opened president
positive,gentlemen said resolve one important problems whole noble science gunnery
positive,might appear perhaps logical course devote first meeting discussion engine employed
negative,nevertheless mature consideration appeared question projectile must take precedence cannon dimensions latter must necessarily depend former suffer say word broke j maston
positive,permission granted gentlemen said inspired accent president right placing question projectile others
positive,ball discharge moon ambassador wish consider moral point view
positive,cannon ball gentlemen mind magnificent manifestation human power
neutral,providence created stars planets man called cannon ball existence
positive,let providence claim swiftness electricity light stars comets planets wind sound claim invented swiftness cannon ball hundred times superior swiftest horses railway train
positive,glorious moment infinitely exceeding hitherto attained velocities shall launch new projectile rapidity seven miles second
positive,shall gentlemen shall received honors due terrestrial ambassador overcome emotion orator sat applied huge plate sandwiches
neutral,said barbicane let us quit domain poetry come direct question means replied members mouth full sandwich
negative,problem us continued president communicate projectile velocity 12 000 yards per second
neutral,let us present examine velocities hitherto attained
positive,general morgan able enlighten us point easily replied general war member committee experiments
positive,may say 100 pounder dahlgrens carried distance 5 000 yards impressed upon projectile initial velocity 500 yards second
neutral,rodman columbiad threw shot weighing half ton distance six miles velocity 800 yards per second result armstrong palisser never obtained england replied barbicane believe maximum velocity ever attained replied general
positive,ah groaned j maston mortar burst yes quietly replied barbicane burst
neutral,must take starting point velocity 800 yards
positive,must increase twenty fold
neutral,reserving another discussion means producing velocity call attention dimensions proper assign shot
negative,understand nothing projectiles weighing half ton demanded major
positive,shot quickly replied j maston must big enough attract attention inhabitants moon yes replied barbicane another reason important still mean asked major
positive,mean enough discharge projectile take notice must follow throughout course moment shall reach goal shouted general major great surprise
neutral,undoubtedly replied barbicane composedly experiment would produce result replied major give projectile enormous dimensions
positive,good listen
positive,know optical instruments acquired great perfection certain instruments succeeded obtaining enlargements 6 000 times reducing moon within forty miles distance
positive,distance objects sixty feet square would perfectly visible
positive,penetrative power telescopes increased power detracts light moon reflecting mirror give back sufficient light enable us perceive objects lesser magnitude well propose asked general
positive,would give projectile diameter sixty feet intend increase luminous power moon exactly
positive,succeed diminishing density atmosphere moon light travel shall rendered light intense
neutral,effect object enough establish telescope elevated mountain
neutral,give answered major
neutral,way simplifying things
positive,enlargement expect obtain way one 48 000 times bring moon within apparent distance five miles order visible objects need diameter nine feet cried j maston projectile need nine feet diameter let observe however interrupted major elphinstone involve weight dear major replied barbicane discussing weight permit enumerate marvels ancestors achieved respect
positive,mean pretend science gunnery advanced well bear mind middle ages obtained results surprising venture say
neutral,instance siege constantinople mahomet ii 1453 stone shot 1 900 pounds weight employed
negative,malta time knights gun fortress st elmo threw projectile weighing 2 500 pounds
neutral,extent seen
neutral,armstrong guns discharging shot 500 pounds rodman guns projectiles half ton
positive,seems projectiles gained range lost far weight
positive,turn efforts direction ought arrive progress science ten times weight shot mahomet ii
positive,knights malta clearly replied major metal calculate upon employing simply cast iron said general morgan
positive,interrupted major since weight shot proportionate volume iron ball nine feet diameter would tremendous weight yes solid hollow hollow
positive,would shell yes shell replied barbicane decidely must
positive,solid shot 108 inches would weigh 200 000 pounds weight evidently far great
positive,still must reserve certain stability projectile propose give weight 20 000 pounds thickness sides asked major
positive,follow usual proportion replied morgan diameter 108 inches would require sides two feet thickness less would much replied barbicane observe question shot intended pierce iron plate suffice give sides strong enough resist pressure gas
negative,problem therefore thickness ought cast iron shell order weight 20 000 pounds
positive,clever secretary soon enlighten us upon point nothing easier replied worthy secretary committee rapidly tracing algebraical formulae upon paper among n 2 x 2 frequently appeared presently said sides require thickness less two inches enough asked major doubtfully
positive,clearly replied president
negative,done said elphinstone puzzled air
neutral,employ another metal instead iron copper said morgan
neutral,
neutral,would heavy
positive,better offer asked major
